-2.053,  	0.150
-2.783,  	0.150
-3.463,  	0.150
-4.281,  	0.150
-5.089,  	0.150
-6.197,  	0.150
-6.664,  	0.150
-5.401,  	0.150
-4.232,  	0.150
-3.608,  	0.150
-2.857,  	0.150
-2.782,  	0.150
-4.258,  	0.150
-6.363,  	0.150
-7.977,  	0.150
-10.081,  	0.150
-12.406,  	0.150
-14.149,  	0.150
-17.020,  	0.150
-19.649,  	0.150
-22.013,  	0.150
-23.447,  	0.150
-23.750,  	0.150
-25.648,  	0.150
-31.339,  	0.150
-36.167,  	0.150
-38.830,  	0.150
-43.658,  	0.150
-45.984,  	0.150
-48.349,  	0.150
-49.482,  	0.150
-51.772,  	0.150
-54.313,  	0.150
-55.721,  	0.150
-59.015,  	0.150
-61.814,  	0.150
-63.090,  	0.150
-64.466,  	0.150
-68.544,  	0.150
-70.776,  	0.150
-73.182,  	0.150
-73.865,  	0.150
-75.016,  	0.150
-78.154,  	0.150
-80.838,  	0.150
-83.013,  	0.150
-85.719,  	0.150
-88.325,  	0.150
-92.026,  	0.150
-95.705,  	0.150
-99.293,  	0.150
-99.218,  	0.150
-97.300,  	0.150
-95.782,  	0.150
-94.856,  	0.150
-93.525,  	0.150
-91.872,  	0.150
-89.722,  	0.150
-88.187,  	0.150
-87.635,  	0.150
-86.872,  	0.150
-86.255,  	0.150
-85.338,  	0.150
-84.642,  	0.150
-83.810,  	0.150
-82.808,  	0.150
-81.608,  	0.150
-80.615,  	0.150
-79.153,  	0.150
-78.303,  	0.150
-76.849,  	0.150
-75.497,  	0.150
-74.282,  	0.150
-73.420,  	0.150
-72.834,  	0.150
-71.005,  	0.150
-68.176,  	0.150
-65.490,  	0.150
-63.198,  	0.150
-61.567,  	0.150
-59.464,  	0.150
-58.902,  	0.150
-58.511,  	0.150
-58.434,  	0.150
-58.107,  	0.150
-57.767,  	0.150
-57.191,  	0.150
-56.238,  	0.150
-54.828,  	0.150
-53.273,  	0.150
-51.774,  	0.150
-50.085,  	0.150
-49.338,  	0.150
-48.579,  	0.150
-46.831,  	0.150
-44.664,  	0.150
-42.783,  	0.150
-42.512,  	0.150
-41.074,  	0.150
-40.265,  	0.150
