Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-03,-0.0207813,2.41344,3.23484
-9.998000e-04,-0.02125,2.41156,3.23109
-9.996000e-04,-0.0210938,2.41125,3.23328
-9.994000e-04,-0.0203125,2.41266,3.23188
-9.992000e-04,-0.0209375,2.40875,3.23313
-9.990000e-04,-0.0214063,2.41328,3.23344
-9.988000e-04,-0.0214063,2.41406,3.23563
-9.986000e-04,-0.0209375,2.41188,3.23422
-9.984000e-04,-0.020625,2.41281,3.23438
-9.982000e-04,-0.0217188,2.41234,3.23094
-9.980000e-04,-0.020625,2.41125,3.23172
-9.978000e-04,-0.0217188,2.41188,3.23297
-9.976000e-04,-0.0207813,2.41844,3.23828
-9.974000e-04,-0.0198438,2.41641,3.23234
-9.972000e-04,-0.0214063,2.41141,3.23203
-9.970000e-04,-0.0228125,2.41219,3.2325
-9.968000e-04,-0.0201563,2.41375,3.23531
-9.966000e-04,-0.021875,2.41031,3.23094
-9.964000e-04,-0.020625,2.40875,3.23141
-9.962000e-04,-0.0195312,2.41328,3.23406
-9.960000e-04,-0.0204688,2.41625,3.23563
-9.958000e-04,-0.0214063,2.41688,3.23328
-9.956000e-04,-0.02,2.41125,3.22938
-9.954000e-04,-0.02125,2.41438,3.23281
-9.952000e-04,-0.020625,2.41016,3.23188
-9.950000e-04,-0.02125,2.40984,3.23125
-9.948000e-04,-0.0204688,2.41781,3.23984
-9.946000e-04,-0.02125,2.40859,3.23078
-9.944000e-04,-0.02125,2.41141,3.23141
-9.942000e-04,-0.020625,2.41094,3.23094
-9.940000e-04,-0.0215625,2.41375,3.23375
-9.938000e-04,-0.0209375,2.41438,3.23125
-9.936000e-04,-0.02,2.41188,3.23297
-9.934000e-04,-0.0204688,2.41281,3.23094
-9.932000e-04,-0.0204688,2.41078,3.23141
-9.930000e-04,-0.02125,2.41234,3.23266
-9.928000e-04,-0.0221875,2.41156,3.23078
-9.926000e-04,-0.0209375,2.41391,3.23406
-9.924000e-04,-0.0214063,2.41359,3.23594
-9.922000e-04,-0.0203125,2.41375,3.23406
-9.920000e-04,-0.0214063,2.41484,3.23391
-9.918000e-04,-0.0207813,2.41297,3.23141
-9.916000e-04,-0.0214063,2.41219,3.22984
-9.914000e-04,-0.020625,2.41219,3.23266
-9.912000e-04,-0.0203125,2.41875,3.23813
-9.910000e-04,-0.0203125,2.41719,3.23266
-9.908000e-04,-0.02125,2.41219,3.23156
-9.906000e-04,-0.0221875,2.41344,3.23297
-9.904000e-04,-0.0217188,2.41469,3.23203
-9.902000e-04,-0.020625,2.4125,3.23156
-9.900000e-04,-0.0201563,2.41375,3.22953
-9.898000e-04,-0.0203125,2.41578,3.2325
-9.896000e-04,-0.0198438,2.41562,3.23563
