Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-05,,
Horizontal Delay,0,,
Sample Interval,2e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0.06,0.02,0
,,,
,,,
,,,
Label,M2024,,M2030
TIME,CH1,CH2,CH4
-9.738000e-05,1.42,-0.02,-0.04
-9.736000e-05,1.38,-0.02,-0.04
-9.734000e-05,1.42,-0.02,-0.04
-9.732000e-05,1.42,-0.02,-0.04
-9.730000e-05,1.42,-0.02,-0.04
-9.728000e-05,1.46,-0.02,-0.04
-9.726000e-05,1.42,-0.02,-0.04
-9.724000e-05,1.38,-0.02,-0.04
-9.722000e-05,1.42,-0.02,-0.04
-9.720000e-05,1.46,-0.02,-0.04
-9.718000e-05,1.42,-0.02,-0.04
-9.716000e-05,1.42,-0.02,0
-9.714000e-05,1.42,-0.02,-0.04
-9.712000e-05,1.42,-0.02,-0.04
-9.710000e-05,1.38,-0.02,-0.04
-9.708000e-05,1.42,0.02,-0.04
-9.706000e-05,1.42,-0.02,-0.04
-9.704000e-05,1.42,-0.02,-0.04
-9.702000e-05,1.42,-0.02,-0.08
-9.700000e-05,1.42,-0.02,-0.04
-9.698000e-05,1.42,-0.02,-0.04
-9.696000e-05,1.42,-0.06,-0.12
-9.694000e-05,1.38,-0.02,-0.04
-9.692000e-05,1.42,-0.02,-0.04
-9.690000e-05,1.46,-0.02,-0.04
-9.688000e-05,1.42,-0.02,-0.08
-9.686000e-05,1.46,-0.02,-0.04
-9.684000e-05,1.42,-0.02,-0.04
-9.682000e-05,1.42,-0.02,-0.04
-9.680000e-05,1.42,-0.02,-0.04
-9.678000e-05,1.42,-0.02,-0.04
-9.676000e-05,1.42,-0.02,-0.04
-9.674000e-05,1.42,-0.06,-0.04
-9.672000e-05,1.46,-0.02,-0.04
-9.670000e-05,1.42,-0.02,-0.04
-9.668000e-05,1.42,-0.06,-0.04
-9.666000e-05,1.42,-0.02,-0.04
-9.664000e-05,1.42,-0.02,-0.04
-9.662000e-05,1.42,-0.02,-0.04
-9.660000e-05,1.42,-0.02,-0.04
-9.658000e-05,1.38,-0.02,-0.04
-9.656000e-05,1.38,-0.02,-0.04
-9.654000e-05,1.42,0.02,-0.04
-9.652000e-05,1.42,-0.02,-0.04
-9.650000e-05,1.42,-0.02,-0.04
-9.648000e-05,1.42,-0.06,0
-9.646000e-05,1.46,-0.02,-0.04
-9.644000e-05,1.46,-0.02,-0.08
-9.642000e-05,1.42,-0.02,-0.08
-9.640000e-05,1.46,-0.02,0
-9.638000e-05,1.42,-0.02,-0.04
-9.636000e-05,1.42,-0.02,0
-9.634000e-05,1.38,-0.02,-0.04
-9.632000e-05,1.46,-0.02,-0.04
-9.630000e-05,1.38,-0.02,-0.04
-9.628000e-05,1.38,-0.02,-0.08
