Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,0,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-5.000000e-05,-0.0225,1.55125,3.22734
-4.999000e-05,-0.0223437,1.55297,3.22719
-4.998000e-05,-0.0229687,1.55328,3.22984
-4.997000e-05,-0.0217188,1.55547,3.22781
-4.996000e-05,-0.0229687,1.55172,3.22828
-4.995000e-05,-0.0240625,1.54875,3.23078
-4.994000e-05,-0.021875,1.55063,3.22891
-4.993000e-05,-0.0234375,1.54781,3.23016
-4.992000e-05,-0.0220312,1.55516,3.22703
-4.991000e-05,-0.0221875,1.54812,3.22906
-4.990000e-05,-0.0215625,1.55,3.22469
-4.989000e-05,-0.0226562,1.55063,3.23031
-4.988000e-05,-0.0215625,1.55609,3.22953
-4.987000e-05,-0.0223437,1.55031,3.22875
-4.986000e-05,-0.021875,1.54719,3.22531
-4.985000e-05,-0.0229687,1.55063,3.22875
-4.984000e-05,-0.0223437,1.54969,3.22656
-4.983000e-05,-0.0234375,1.55203,3.22625
-4.982000e-05,-0.0209375,1.55359,3.225
-4.981000e-05,-0.0223437,1.55078,3.23078
-4.980000e-05,-0.0217188,1.54859,3.23516
-4.979000e-05,-0.0220312,1.55313,3.22375
-4.978000e-05,-0.0220312,1.55078,3.2275
-4.977000e-05,-0.0234375,1.55188,3.23078
-4.976000e-05,-0.023125,1.55047,3.22531
-4.975000e-05,-0.023125,1.55219,3.22422
-4.974000e-05,-0.0226562,1.55313,3.23016
-4.973000e-05,-0.0228125,1.55016,3.22562
-4.972000e-05,-0.02375,1.54984,3.22688
-4.971000e-05,-0.0229687,1.55203,3.23031
-4.970000e-05,-0.0209375,1.55203,3.23031
-4.969000e-05,-0.0221875,1.55328,3.22734
-4.968000e-05,-0.0223437,1.55172,3.22828
-4.967000e-05,-0.0214063,1.55156,3.22781
-4.966000e-05,-0.02375,1.55391,3.2275
-4.965000e-05,-0.0225,1.55547,3.22812
-4.964000e-05,-0.0232812,1.54984,3.22797
-4.963000e-05,-0.0235938,1.54766,3.23219
-4.962000e-05,-0.0220312,1.55156,3.22906
-4.961000e-05,-0.0240625,1.54797,3.23078
-4.960000e-05,-0.0221875,1.55156,3.22547
-4.959000e-05,-0.0226562,1.54812,3.23047
-4.958000e-05,-0.0214063,1.55,3.225
-4.957000e-05,-0.0235938,1.55156,3.23016
-4.956000e-05,-0.02125,1.55656,3.22922
-4.955000e-05,-0.0235938,1.55125,3.22875
-4.954000e-05,-0.023125,1.54719,3.22562
-4.953000e-05,-0.0235938,1.55094,3.22844
-4.952000e-05,-0.0220312,1.55109,3.22609
-4.951000e-05,-0.023125,1.55016,3.22578
-4.950000e-05,-0.0209375,1.55219,3.22484
-4.949000e-05,-0.0235938,1.55172,3.23031
-4.948000e-05,-0.0220312,1.55188,3.23047
