Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-4.000000e-06,1.36672,1.43453,-0.0578125
-3.999200e-06,1.36391,1.43859,-0.055
-3.998400e-06,1.36531,1.43625,-0.0579687
-3.997600e-06,1.36766,1.43813,-0.0551563
-3.996800e-06,1.36531,1.43766,-0.0582812
-3.996000e-06,1.36203,1.43422,-0.0565625
-3.995200e-06,1.36375,1.43672,-0.0571875
-3.994400e-06,1.36078,1.43453,-0.0571875
-3.993600e-06,1.36625,1.43656,-0.0596875
-3.992800e-06,1.36312,1.4375,-0.0535938
-3.992000e-06,1.36078,1.43609,-0.0582812
-3.991200e-06,1.36281,1.43391,-0.0565625
-3.990400e-06,1.37078,1.43781,-0.0570312
-3.989600e-06,1.3675,1.43437,-0.0548438
-3.988800e-06,1.36344,1.43406,-0.0553125
-3.988000e-06,1.36359,1.43609,-0.0584375
-3.987200e-06,1.36578,1.43688,-0.0585938
-3.986400e-06,1.36531,1.43844,-0.0557813
-3.985600e-06,1.36703,1.43656,-0.0589063
-3.984800e-06,1.36531,1.43609,-0.0557813
-3.984000e-06,1.36531,1.43609,-0.0551563
-3.983200e-06,1.36719,1.43781,-0.0590625
-3.982400e-06,1.36797,1.43766,-0.0582812
-3.981600e-06,1.36594,1.43547,-0.0557813
-3.980800e-06,1.36172,1.43531,-0.0582812
-3.980000e-06,1.36813,1.43406,-0.0584375
-3.979200e-06,1.36625,1.43609,-0.0553125
-3.978400e-06,1.36344,1.43375,-0.0578125
-3.977600e-06,1.36328,1.43469,-0.0589063
-3.976800e-06,1.36375,1.43641,-0.058125
-3.976000e-06,1.36734,1.4375,-0.0559375
-3.975200e-06,1.36625,1.43719,-0.0578125
-3.974400e-06,1.3675,1.43531,-0.0570312
-3.973600e-06,1.36391,1.43813,-0.0553125
-3.972800e-06,1.36625,1.4375,-0.0576562
-3.972000e-06,1.36797,1.43609,-0.055
-3.971200e-06,1.36563,1.43531,-0.0584375
-3.970400e-06,1.36219,1.43297,-0.05375
-3.969600e-06,1.36531,1.43672,-0.0571875
-3.968800e-06,1.36344,1.43594,-0.0565625
-3.968000e-06,1.36516,1.43625,-0.0595313
-3.967200e-06,1.36438,1.43719,-0.0560937
-3.966400e-06,1.36281,1.43578,-0.0585938
-3.965600e-06,1.36359,1.43813,-0.0576562
-3.964800e-06,1.37031,1.43813,-0.056875
-3.964000e-06,1.36781,1.43375,-0.0571875
-3.963200e-06,1.36219,1.43219,-0.0570312
-3.962400e-06,1.36094,1.4375,-0.0564062
-3.961600e-06,1.36609,1.43813,-0.0590625
-3.960800e-06,1.36422,1.43734,-0.0571875
-3.960000e-06,1.36609,1.43781,-0.0582812
-3.959200e-06,1.36625,1.43656,-0.055625
-3.958400e-06,1.365,1.43422,-0.0557813
