Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-06,,
Horizontal Delay,0,,
Sample Interval,2e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-05,-0.00390625,1.69063,3.25438
-9.998000e-06,-0.00484375,1.68703,3.25703
-9.996000e-06,-0.0040625,1.69094,3.2575
-9.994000e-06,-0.0053125,1.68938,3.25687
-9.992000e-06,-0.00515625,1.68641,3.25563
-9.990000e-06,-0.00390625,1.68891,3.25875
-9.988000e-06,-0.00578125,1.69141,3.25672
-9.986000e-06,-0.00640625,1.68891,3.25422
-9.984000e-06,-0.0046875,1.69156,3.25828
-9.982000e-06,-0.00703125,1.69031,3.25625
-9.980000e-06,-0.005,1.68578,3.25687
-9.978000e-06,-0.0046875,1.68797,3.25969
-9.976000e-06,-0.00484375,1.68875,3.25453
-9.974000e-06,-0.0046875,1.68656,3.25375
-9.972000e-06,-0.00359375,1.68547,3.25609
-9.970000e-06,-0.004375,1.68797,3.26109
-9.968000e-06,-0.00625,1.68797,3.25875
-9.966000e-06,-0.008125,1.69078,3.25641
-9.964000e-06,-0.00359375,1.69234,3.25766
-9.962000e-06,-0.003125,1.68625,3.25734
-9.960000e-06,-0.00734375,1.68688,3.25656
-9.958000e-06,-0.004375,1.68672,3.25578
-9.956000e-06,-0.00375,1.68891,3.26172
-9.954000e-06,-0.00578125,1.68891,3.25719
-9.952000e-06,-0.00640625,1.69016,3.25797
-9.950000e-06,-0.003125,1.69031,3.25922
-9.948000e-06,-0.0075,1.68688,3.25563
-9.946000e-06,-0.00421875,1.69031,3.25516
-9.944000e-06,-0.00625,1.69047,3.25625
-9.942000e-06,-0.0034375,1.68844,3.25687
-9.940000e-06,-0.00484375,1.69125,3.25687
-9.938000e-06,-0.00546875,1.68672,3.25719
-9.936000e-06,-0.0034375,1.68938,3.25828
-9.934000e-06,-0.0059375,1.69047,3.25703
-9.932000e-06,-0.0040625,1.68969,3.25422
-9.930000e-06,-0.0059375,1.6875,3.25687
-9.928000e-06,-0.005,1.68469,3.25766
-9.926000e-06,-0.005625,1.68891,3.25828
-9.924000e-06,-0.0059375,1.68813,3.25609
-9.922000e-06,-0.006875,1.68766,3.25875
-9.920000e-06,-0.0053125,1.68734,3.25609
-9.918000e-06,-0.0071875,1.68813,3.25547
-9.916000e-06,-0.00359375,1.68641,3.25656
-9.914000e-06,-0.00453125,1.69047,3.26375
-9.912000e-06,-0.004375,1.68797,3.25656
-9.910000e-06,-0.00671875,1.68641,3.25469
-9.908000e-06,-0.0046875,1.68906,3.25734
-9.906000e-06,-0.0040625,1.68953,3.25469
-9.904000e-06,-0.00453125,1.68891,3.2575
-9.902000e-06,-0.006875,1.68859,3.25609
-9.900000e-06,-0.0065625,1.68688,3.25875
-9.898000e-06,-0.00265625,1.68719,3.25922
-9.896000e-06,-0.0071875,1.69063,3.25937
