Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-06,,
Horizontal Delay,0,,
Sample Interval,2e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-05,-0.0059375,1.85984,3.25797
-9.998000e-06,-0.0059375,1.85906,3.25937
-9.996000e-06,-0.00640625,1.85609,3.26219
-9.994000e-06,-0.00578125,1.86,3.25969
-9.992000e-06,-0.00578125,1.85797,3.25766
-9.990000e-06,-0.00578125,1.86047,3.2575
-9.988000e-06,-0.0053125,1.86031,3.25937
-9.986000e-06,-0.0075,1.86094,3.25984
-9.984000e-06,-0.00609375,1.85922,3.25937
-9.982000e-06,-0.00671875,1.85891,3.25672
-9.980000e-06,-0.00578125,1.85922,3.25703
-9.978000e-06,-0.00609375,1.865,3.26063
-9.976000e-06,-0.00671875,1.86234,3.26203
-9.974000e-06,-0.00703125,1.85984,3.25594
-9.972000e-06,-0.0040625,1.85844,3.25797
-9.970000e-06,-0.006875,1.85703,3.26234
-9.968000e-06,-0.00609375,1.85953,3.25719
-9.966000e-06,-0.00828125,1.85547,3.25656
-9.964000e-06,-0.005625,1.85813,3.26156
-9.962000e-06,-0.00203125,1.86203,3.25937
-9.960000e-06,-0.0084375,1.86062,3.25969
-9.958000e-06,-0.00609375,1.85797,3.25813
-9.956000e-06,-0.00609375,1.86094,3.25937
-9.954000e-06,-0.00703125,1.8575,3.25563
-9.952000e-06,-0.008125,1.85891,3.25891
-9.950000e-06,-0.00390625,1.86,3.26109
-9.948000e-06,-0.00640625,1.86031,3.25797
-9.946000e-06,-0.006875,1.85703,3.25687
-9.944000e-06,-0.00609375,1.85891,3.25781
-9.942000e-06,-0.00421875,1.85922,3.25969
-9.940000e-06,-0.00453125,1.86062,3.25922
-9.938000e-06,-0.00703125,1.86062,3.25844
-9.936000e-06,-0.00609375,1.86078,3.25719
-9.934000e-06,-0.00609375,1.86203,3.25828
-9.932000e-06,-0.00484375,1.85688,3.26187
-9.930000e-06,-0.0065625,1.85953,3.25672
-9.928000e-06,-0.004375,1.85953,3.25781
-9.926000e-06,-0.0040625,1.85875,3.26047
-9.924000e-06,-0.00578125,1.85859,3.2575
-9.922000e-06,-0.0065625,1.86031,3.25828
-9.920000e-06,-0.00625,1.85969,3.25781
-9.918000e-06,-0.00671875,1.85938,3.25719
-9.916000e-06,-0.00484375,1.86141,3.25797
-9.914000e-06,-0.00453125,1.86219,3.26172
-9.912000e-06,-0.00515625,1.86422,3.26094
-9.910000e-06,-0.00765625,1.85688,3.25984
-9.908000e-06,-0.00546875,1.86203,3.25922
-9.906000e-06,-0.00703125,1.86141,3.25484
-9.904000e-06,-0.0053125,1.86109,3.26063
-9.902000e-06,-0.00765625,1.86313,3.25969
-9.900000e-06,-0.00515625,1.86031,3.25953
-9.898000e-06,-0.0053125,1.85891,3.26187
-9.896000e-06,-0.00875,1.85969,3.26063
