Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,0,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-2.000000e-06,1.38312,1.47703,-0.0245313
-1.999600e-06,1.37953,1.48047,-0.0265625
-1.999200e-06,1.38172,1.48,-0.0242188
-1.998800e-06,1.3825,1.47594,-0.025625
-1.998400e-06,1.38172,1.47844,-0.0242188
-1.998000e-06,1.38359,1.47703,-0.0228125
-1.997600e-06,1.38266,1.475,-0.0217188
-1.997200e-06,1.38375,1.47922,-0.0248438
-1.996800e-06,1.3825,1.47656,-0.0248438
-1.996400e-06,1.38219,1.47828,-0.0270312
-1.996000e-06,1.38203,1.47641,-0.0245313
-1.995600e-06,1.38406,1.48297,-0.0242188
-1.995200e-06,1.38453,1.47781,-0.0207813
-1.994800e-06,1.38297,1.47938,-0.0242188
-1.994400e-06,1.38031,1.47859,-0.0246875
-1.994000e-06,1.38266,1.47656,-0.0246875
-1.993600e-06,1.38469,1.47734,-0.0259375
-1.993200e-06,1.38625,1.47828,-0.0259375
-1.992800e-06,1.38281,1.48063,-0.0242188
-1.992400e-06,1.38219,1.48031,-0.020625
-1.992000e-06,1.38187,1.48156,-0.0248438
-1.991600e-06,1.38,1.47734,-0.0217188
-1.991200e-06,1.38062,1.47766,-0.0229687
-1.990800e-06,1.38016,1.47891,-0.0279688
-1.990400e-06,1.38563,1.47813,-0.0248438
-1.990000e-06,1.38531,1.48234,-0.0204688
-1.989600e-06,1.38109,1.47766,-0.0239063
-1.989200e-06,1.37875,1.47953,-0.02625
-1.988800e-06,1.38297,1.47766,-0.024375
-1.988400e-06,1.38094,1.47797,-0.0240625
-1.988000e-06,1.38359,1.47859,-0.0234375
-1.987600e-06,1.38047,1.47922,-0.0234375
-1.987200e-06,1.38375,1.47703,-0.0242188
-1.986800e-06,1.38187,1.47453,-0.0248438
-1.986400e-06,1.38328,1.47625,-0.0232812
-1.986000e-06,1.38266,1.47906,-0.02625
-1.985600e-06,1.38328,1.47828,-0.024375
-1.985200e-06,1.38156,1.47703,-0.023125
-1.984800e-06,1.38578,1.48016,-0.0210938
-1.984400e-06,1.38312,1.47797,-0.0264062
-1.984000e-06,1.38172,1.47641,-0.025
-1.983600e-06,1.37891,1.47828,-0.026875
-1.983200e-06,1.38156,1.47562,-0.0240625
-1.982800e-06,1.38406,1.48031,-0.02375
-1.982400e-06,1.38391,1.47734,-0.0214063
-1.982000e-06,1.38047,1.47984,-0.0242188
-1.981600e-06,1.3825,1.47891,-0.0240625
-1.981200e-06,1.38187,1.47828,-0.0220312
-1.980800e-06,1.38312,1.47922,-0.0225
-1.980400e-06,1.38438,1.47734,-0.0254688
-1.980000e-06,1.38266,1.47969,-0.0223437
-1.979600e-06,1.38062,1.48,-0.0215625
-1.979200e-06,1.38312,1.47734,-0.0260937
