Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,0,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-9.656000e-06,1.4,-0.04
-9.654000e-06,1.4,-0.04
-9.652000e-06,1.44,-0.04
-9.650000e-06,1.4,-0.04
-9.648000e-06,1.4,0
-9.646000e-06,1.4,-0.04
-9.644000e-06,1.4,-0.04
-9.642000e-06,1.4,-0.04
-9.640000e-06,1.4,0
-9.638000e-06,1.4,0
-9.636000e-06,1.44,-0.04
-9.634000e-06,1.44,-0.04
-9.632000e-06,1.44,-0.04
-9.630000e-06,1.4,-0.04
-9.628000e-06,1.44,-0.04
-9.626000e-06,1.4,-0.04
-9.624000e-06,1.4,0
-9.622000e-06,1.4,-0.04
-9.620000e-06,1.44,0
-9.618000e-06,1.36,0
-9.616000e-06,1.36,0
-9.614000e-06,1.4,0
-9.612000e-06,1.44,-0.04
-9.610000e-06,1.44,-0.04
-9.608000e-06,1.36,0
-9.606000e-06,1.4,-0.04
-9.604000e-06,1.4,-0.04
-9.602000e-06,1.44,-0.04
-9.600000e-06,1.44,-0.04
-9.598000e-06,1.4,0
-9.596000e-06,1.44,0
-9.594000e-06,1.4,-0.04
-9.592000e-06,1.4,0
-9.590000e-06,1.4,0
-9.588000e-06,1.4,-0.04
-9.586000e-06,1.4,-0.04
-9.584000e-06,1.44,0.04
-9.582000e-06,1.4,-0.04
-9.580000e-06,1.4,-0.04
-9.578000e-06,1.4,-0.04
-9.576000e-06,1.44,0
-9.574000e-06,1.44,0
-9.572000e-06,1.4,-0.08
-9.570000e-06,1.4,-0.04
-9.568000e-06,1.4,-0.04
-9.566000e-06,1.44,-0.04
-9.564000e-06,1.44,-0.04
-9.562000e-06,1.44,-0.04
-9.560000e-06,1.44,-0.04
-9.558000e-06,1.4,-0.04
-9.556000e-06,1.44,-0.04
-9.554000e-06,1.4,0
-9.552000e-06,1.4,-0.04
-9.550000e-06,1.4,-0.04
-9.548000e-06,1.44,-0.04
-9.546000e-06,1.44,-0.04
-9.544000e-06,1.4,-0.04
-9.542000e-06,1.4,-0.04
-9.540000e-06,1.4,-0.04
-9.538000e-06,1.44,-0.08
-9.536000e-06,1.44,-0.04
-9.534000e-06,1.44,-0.04
-9.532000e-06,1.4,-0.04
-9.530000e-06,1.36,-0.04
-9.528000e-06,1.44,-0.04
-9.526000e-06,1.44,-0.04
-9.524000e-06,1.4,0
-9.522000e-06,1.4,-0.04
-9.520000e-06,1.44,-0.04
-9.518000e-06,1.4,-0.04
-9.516000e-06,1.4,0
-9.514000e-06,1.4,-0.04
-9.512000e-06,1.4,-0.04
-9.510000e-06,1.4,-0.04
-9.508000e-06,1.4,-0.04
-9.506000e-06,1.4,0
-9.504000e-06,1.4,-0.04
-9.502000e-06,1.44,0
-9.500000e-06,1.44,-0.04
-9.498000e-06,1.4,0
-9.496000e-06,1.44,0
-9.494000e-06,1.44,0
-9.492000e-06,1.44,0
-9.490000e-06,1.4,-0.04
-9.488000e-06,1.4,0
-9.486000e-06,1.44,-0.04
-9.484000e-06,1.48,0
-9.482000e-06,1.44,-0.04
-9.480000e-06,1.44,0
-9.478000e-06,1.44,-0.04
-9.476000e-06,1.4,-0.04
-9.474000e-06,1.4,-0.04
-9.472000e-06,1.4,-0.04
-9.470000e-06,1.4,-0.04
-9.468000e-06,1.4,0
-9.466000e-06,1.4,-0.04
-9.464000e-06,1.44,-0.04
-9.462000e-06,1.44,0
-9.460000e-06,1.44,-0.04
-9.458000e-06,1.4,-0.04
-9.456000e-06,1.44,-0.04
-9.454000e-06,1.36,-0.04
-9.452000e-06,1.44,0
