Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-05,,
Horizontal Delay,0,,
Sample Interval,2e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-04,-0.0240625,1.49938,3.23156
-9.998000e-05,-0.0229687,1.49516,3.23094
-9.996000e-05,-0.0239063,1.49891,3.23297
-9.994000e-05,-0.0228125,1.49766,3.23172
-9.992000e-05,-0.023125,1.49703,3.23375
-9.990000e-05,-0.0232812,1.49781,3.23234
-9.988000e-05,-0.023125,1.49844,3.23453
-9.986000e-05,-0.0245313,1.49859,3.23594
-9.984000e-05,-0.0221875,1.49891,3.23453
-9.982000e-05,-0.0232812,1.49875,3.23141
-9.980000e-05,-0.024375,1.49594,3.23109
-9.978000e-05,-0.02375,1.4975,3.23344
-9.976000e-05,-0.0215625,1.50453,3.23813
-9.974000e-05,-0.0239063,1.50203,3.23219
-9.972000e-05,-0.023125,1.49781,3.23109
-9.970000e-05,-0.0234375,1.49734,3.2325
-9.968000e-05,-0.0217188,1.50156,3.23391
-9.966000e-05,-0.0234375,1.49469,3.22922
-9.964000e-05,-0.0210938,1.49438,3.23
-9.962000e-05,-0.0239063,1.49562,3.23266
-9.960000e-05,-0.0226562,1.50109,3.23625
-9.958000e-05,-0.021875,1.50078,3.22922
-9.956000e-05,-0.024375,1.49844,3.23094
-9.954000e-05,-0.0240625,1.50078,3.23359
-9.952000e-05,-0.0240625,1.49578,3.22828
-9.950000e-05,-0.0246875,1.49813,3.23031
-9.948000e-05,-0.0215625,1.5025,3.23687
-9.946000e-05,-0.0239063,1.49578,3.22953
-9.944000e-05,-0.0239063,1.49531,3.23172
-9.942000e-05,-0.0226562,1.4975,3.23078
-9.940000e-05,-0.0209375,1.49859,3.23234
-9.938000e-05,-0.0226562,1.49906,3.23266
-9.936000e-05,-0.02375,1.49906,3.23109
-9.934000e-05,-0.0221875,1.49703,3.23328
-9.932000e-05,-0.0239063,1.4975,3.23078
-9.930000e-05,-0.021875,1.50172,3.23078
-9.928000e-05,-0.0235938,1.49609,3.23172
-9.926000e-05,-0.0251563,1.49906,3.23453
-9.924000e-05,-0.0223437,1.50016,3.23625
-9.922000e-05,-0.0257813,1.49984,3.23234
-9.920000e-05,-0.024375,1.49906,3.22984
-9.918000e-05,-0.0229687,1.49734,3.23031
-9.916000e-05,-0.02375,1.49875,3.22984
-9.914000e-05,-0.0217188,1.49844,3.23219
-9.912000e-05,-0.0209375,1.50469,3.23828
-9.910000e-05,-0.025,1.50234,3.23203
-9.908000e-05,-0.0234375,1.49672,3.23172
-9.906000e-05,-0.0225,1.49578,3.23281
-9.904000e-05,-0.0223437,1.4975,3.23094
-9.902000e-05,-0.0221875,1.49781,3.23016
-9.900000e-05,-0.0215625,1.49719,3.23266
-9.898000e-05,-0.0239063,1.50047,3.23219
-9.896000e-05,-0.0226562,1.50219,3.23578
