Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,0,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-5.000000e-05,-0.0234375,1.63422,3.23297
-4.999000e-05,-0.0225,1.63656,3.22828
-4.998000e-05,-0.0223437,1.635,3.23266
-4.997000e-05,-0.0220312,1.63625,3.23062
-4.996000e-05,-0.0235938,1.63578,3.23219
-4.995000e-05,-0.0226562,1.63,3.23297
-4.994000e-05,-0.0225,1.63609,3.23594
-4.993000e-05,-0.02375,1.63328,3.23219
-4.992000e-05,-0.0229687,1.63625,3.2325
-4.991000e-05,-0.0228125,1.63453,3.23141
-4.990000e-05,-0.0225,1.63484,3.23172
-4.989000e-05,-0.0240625,1.63422,3.23219
-4.988000e-05,-0.0217188,1.63781,3.23813
-4.987000e-05,-0.0228125,1.63266,3.23219
-4.986000e-05,-0.0229687,1.63359,3.23125
-4.985000e-05,-0.0232812,1.63594,3.23328
-4.984000e-05,-0.0234375,1.63375,3.23359
-4.983000e-05,-0.0217188,1.63719,3.23188
-4.982000e-05,-0.0214063,1.63703,3.22953
-4.981000e-05,-0.0215625,1.63578,3.23234
-4.980000e-05,-0.021875,1.63609,3.23672
-4.979000e-05,-0.0221875,1.63656,3.23391
-4.978000e-05,-0.0223437,1.63328,3.23
-4.977000e-05,-0.0245313,1.63453,3.23188
-4.976000e-05,-0.0235938,1.63563,3.22828
-4.975000e-05,-0.0229687,1.63453,3.22703
-4.974000e-05,-0.0217188,1.6375,3.23328
-4.973000e-05,-0.0239063,1.63281,3.22969
-4.972000e-05,-0.0225,1.63344,3.23109
-4.971000e-05,-0.0239063,1.63656,3.23078
-4.970000e-05,-0.021875,1.63672,3.23297
-4.969000e-05,-0.0229687,1.63672,3.22938
-4.968000e-05,-0.0217188,1.63391,3.23141
-4.967000e-05,-0.0223437,1.63703,3.23172
-4.966000e-05,-0.024375,1.63688,3.23047
-4.965000e-05,-0.0228125,1.63797,3.23234
-4.964000e-05,-0.0235938,1.63641,3.23219
-4.963000e-05,-0.0220312,1.62969,3.23344
-4.962000e-05,-0.0229687,1.63625,3.23719
-4.961000e-05,-0.023125,1.63438,3.23047
-4.960000e-05,-0.0228125,1.63594,3.23016
-4.959000e-05,-0.0225,1.63484,3.23156
-4.958000e-05,-0.021875,1.63547,3.22953
-4.957000e-05,-0.0245313,1.63625,3.23422
-4.956000e-05,-0.0217188,1.63844,3.24063
-4.955000e-05,-0.0223437,1.63234,3.23062
-4.954000e-05,-0.0228125,1.63187,3.22812
-4.953000e-05,-0.0235938,1.635,3.23406
-4.952000e-05,-0.0229687,1.63734,3.23234
-4.951000e-05,-0.0234375,1.63797,3.23109
-4.950000e-05,-0.024375,1.63766,3.23016
-4.949000e-05,-0.0221875,1.635,3.23297
-4.948000e-05,-0.0228125,1.63422,3.23734
