Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-06,,
Horizontal Delay,0,,
Sample Interval,4e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-1.954000e-05,1.34781,1.44547,-0.0553125
-1.953600e-05,1.35375,1.44844,-0.051875
-1.953200e-05,1.34563,1.44234,-0.0582812
-1.952800e-05,1.34703,1.44312,-0.0585938
-1.952400e-05,1.34922,1.44469,-0.0551563
-1.952000e-05,1.34563,1.44219,-0.058125
-1.951600e-05,1.34672,1.44406,-0.0585938
-1.951200e-05,1.35313,1.44703,-0.0534375
-1.950800e-05,1.34703,1.44266,-0.0573437
-1.950400e-05,1.34719,1.44125,-0.0576562
-1.950000e-05,1.35016,1.44469,-0.0548438
-1.949600e-05,1.35234,1.44531,-0.0567187
-1.949200e-05,1.34813,1.44469,-0.0575
-1.948800e-05,1.34875,1.44312,-0.0570312
-1.948400e-05,1.34875,1.44562,-0.0548438
-1.948000e-05,1.34969,1.44328,-0.0567187
-1.947600e-05,1.34922,1.44594,-0.0535938
-1.947200e-05,1.34797,1.44344,-0.056875
-1.946800e-05,1.35203,1.44422,-0.055
-1.946400e-05,1.35391,1.44156,-0.0573437
-1.946000e-05,1.34922,1.44375,-0.0559375
-1.945600e-05,1.34703,1.44078,-0.0579687
-1.945200e-05,1.34844,1.44312,-0.0553125
-1.944800e-05,1.34719,1.44375,-0.0582812
-1.944400e-05,1.35094,1.44437,-0.0567187
-1.944000e-05,1.35172,1.44172,-0.0570312
-1.943600e-05,1.35094,1.44344,-0.0559375
-1.943200e-05,1.3475,1.44422,-0.0560937
-1.942800e-05,1.35078,1.44141,-0.0567187
-1.942400e-05,1.35,1.44141,-0.0584375
-1.942000e-05,1.34984,1.44594,-0.0565625
-1.941600e-05,1.34844,1.44172,-0.0570312
