Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-3.908000e-06,1.39375,1.46594,-0.0182812
-3.907200e-06,1.39391,1.46891,-0.0190625
-3.906400e-06,1.39109,1.46578,-0.0178125
-3.905600e-06,1.39516,1.46531,-0.0201563
-3.904800e-06,1.39344,1.46547,-0.0234375
-3.904000e-06,1.39328,1.46453,-0.0207813
-3.903200e-06,1.39578,1.46828,-0.0159375
-3.902400e-06,1.39312,1.46484,-0.0234375
-3.901600e-06,1.39406,1.4625,-0.021875
-3.900800e-06,1.39609,1.46969,-0.0240625
-3.900000e-06,1.39422,1.46953,-0.021875
-3.899200e-06,1.39531,1.46734,-0.0214063
-3.898400e-06,1.39109,1.46641,-0.0217188
-3.897600e-06,1.39625,1.46594,-0.0203125
-3.896800e-06,1.39766,1.46828,-0.0209375
-3.896000e-06,1.39328,1.46813,-0.0196875
-3.895200e-06,1.39422,1.46938,-0.0220312
-3.894400e-06,1.395,1.46234,-0.0203125
-3.893600e-06,1.39516,1.46469,-0.0201563
-3.892800e-06,1.39359,1.46734,-0.019375
-3.892000e-06,1.39312,1.46734,-0.0189062
-3.891200e-06,1.39391,1.46422,-0.0235938
-3.890400e-06,1.39047,1.46734,-0.0226562
-3.889600e-06,1.39563,1.46578,-0.0220312
-3.888800e-06,1.39234,1.46687,-0.0182812
-3.888000e-06,1.39344,1.46781,-0.0189062
-3.887200e-06,1.39281,1.46313,-0.0225
-3.886400e-06,1.39531,1.46594,-0.0209375
-3.885600e-06,1.39141,1.46578,-0.0204688
-3.884800e-06,1.39406,1.46859,-0.0204688
-3.884000e-06,1.39359,1.46703,-0.0203125
-3.883200e-06,1.39547,1.46547,-0.0209375
-3.882400e-06,1.39922,1.46813,-0.019375
-3.881600e-06,1.39297,1.46781,-0.0204688
-3.880800e-06,1.39453,1.46734,-0.0201563
-3.880000e-06,1.39547,1.46781,-0.0184375
-3.879200e-06,1.39391,1.46219,-0.0209375
-3.878400e-06,1.39344,1.46172,-0.0226562
-3.877600e-06,1.39578,1.465,-0.0201563
-3.876800e-06,1.39266,1.46734,-0.0207813
-3.876000e-06,1.39391,1.46594,-0.0214063
-3.875200e-06,1.39406,1.46922,-0.0229687
-3.874400e-06,1.39422,1.46703,-0.0203125
-3.873600e-06,1.39531,1.46656,-0.0167188
-3.872800e-06,1.39531,1.46328,-0.0214063
-3.872000e-06,1.39344,1.46687,-0.020625
-3.871200e-06,1.39344,1.46734,-0.0195312
-3.870400e-06,1.39234,1.46813,-0.0220312
-3.869600e-06,1.39297,1.46266,-0.0228125
-3.868800e-06,1.395,1.46328,-0.019375
-3.868000e-06,1.39875,1.46797,-0.0192187
-3.867200e-06,1.39703,1.46516,-0.0195312
-3.866400e-06,1.39312,1.46672,-0.0179688
-3.865600e-06,1.39297,1.46703,-0.019375
