Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-4.000000e-06,1.39328,1.45594,-0.021875
-3.999200e-06,1.39344,1.45469,-0.0210938
-3.998400e-06,1.39344,1.45234,-0.020625
-3.997600e-06,1.39328,1.45359,-0.0217188
-3.996800e-06,1.395,1.45437,-0.0207813
-3.996000e-06,1.39125,1.45359,-0.0215625
-3.995200e-06,1.39141,1.45516,-0.0226562
-3.994400e-06,1.39266,1.45234,-0.0207813
-3.993600e-06,1.39344,1.45375,-0.0225
-3.992800e-06,1.39031,1.4525,-0.0240625
-3.992000e-06,1.39547,1.45469,-0.02125
-3.991200e-06,1.39172,1.44891,-0.0173438
-3.990400e-06,1.39406,1.45437,-0.019375
-3.989600e-06,1.39187,1.45359,-0.0225
-3.988800e-06,1.39297,1.45797,-0.0201563
-3.988000e-06,1.39172,1.45578,-0.0192187
-3.987200e-06,1.39172,1.45281,-0.0225
-3.986400e-06,1.39156,1.45312,-0.02375
-3.985600e-06,1.39219,1.45391,-0.0221875
-3.984800e-06,1.39594,1.45453,-0.0198438
-3.984000e-06,1.39031,1.45141,-0.0190625
-3.983200e-06,1.39172,1.45437,-0.0221875
-3.982400e-06,1.39187,1.45281,-0.0189062
-3.981600e-06,1.39297,1.45219,-0.0217188
-3.980800e-06,1.39047,1.45391,-0.0217188
-3.980000e-06,1.3925,1.45578,-0.018125
-3.979200e-06,1.39266,1.45281,-0.0209375
-3.978400e-06,1.39016,1.45109,-0.0221875
-3.977600e-06,1.39172,1.45469,-0.0220312
-3.976800e-06,1.39078,1.45625,-0.02
-3.976000e-06,1.39156,1.45281,-0.019375
-3.975200e-06,1.39328,1.45453,-0.0189062
-3.974400e-06,1.39281,1.45375,-0.0210938
-3.973600e-06,1.39359,1.45531,-0.02375
-3.972800e-06,1.39234,1.45547,-0.0204688
-3.972000e-06,1.3875,1.45422,-0.021875
-3.971200e-06,1.39437,1.45703,-0.0217188
-3.970400e-06,1.39016,1.45172,-0.0192187
-3.969600e-06,1.39172,1.45562,-0.02125
-3.968800e-06,1.38953,1.4525,-0.0209375
-3.968000e-06,1.38953,1.45562,-0.0221875
-3.967200e-06,1.39187,1.455,-0.0228125
-3.966400e-06,1.39406,1.45406,-0.021875
-3.965600e-06,1.39156,1.45437,-0.018125
-3.964800e-06,1.38641,1.45156,-0.0209375
-3.964000e-06,1.39141,1.45266,-0.0229687
-3.963200e-06,1.39219,1.45703,-0.0226562
-3.962400e-06,1.39047,1.45281,-0.0228125
-3.961600e-06,1.39172,1.45344,-0.0203125
-3.960800e-06,1.39047,1.45094,-0.0207813
-3.960000e-06,1.39141,1.45453,-0.0209375
-3.959200e-06,1.39359,1.45766,-0.02
-3.958400e-06,1.39312,1.45453,-0.019375
-3.957600e-06,1.39563,1.45359,-0.0214063
