-20.479,  	10244.574
-20.485,  	9048.609
-20.487,  	9207.316
-20.473,  	9643.758
-20.482,  	9745.783
-20.472,  	9785.459
-24.846,  	17828.461
-24.857,  	16366.097
-24.862,  	16275.408
-24.864,  	16292.412
-24.842,  	16145.042
-26.348,  	16139.374
-28.812,  	27384.840
-28.792,  	26579.973
-28.785,  	25491.702
-28.794,  	25440.689
-28.798,  	26687.666
-28.808,  	25639.072
-32.580,  	44799.643
-32.580,  	44280.853
-32.578,  	42964.451
-32.565,  	42794.156
-32.568,  	42714.483
-37.144,  	98945.626
-37.146,  	96857.064
-37.142,  	94028.758
-37.143,  	91270.082
-37.139,  	92002.073
-41.210,  	93644.967
-44.323,  	211944.729
-44.316,  	209047.990
-44.323,  	215934.277
-44.327,  	205997.907
-44.313,  	207864.253
-44.327,  	210970.271
-50.289,  	501486.709
-50.292,  	496065.231
-50.286,  	522917.765
-50.288,  	549533.340
-50.296,  	508432.508
-50.289,  	601784.051
-54.991,  	878201.605
-54.975,  	971132.992
-54.977,  	869877.419
-54.971,  	845825.509
-54.976,  	1036972.517
-54.972,  	1112388.700
-54.966,  	1086059.973
-62.946,  	3823836.155
-62.948,  	3745798.682
-62.935,  	3823836.155
-62.949,  	3598904.616
-62.948,  	3823836.155
-62.936,  	3905194.371
-62.936,  	3905194.371
-62.938,  	3823836.155
-66.301,  	6797930.942
-66.296,  	6797930.942
-66.303,  	7059389.824
-66.299,  	6797930.942
-66.296,  	6797930.942
-66.303,  	6329108.118
-66.309,  	6555147.694
-70.917,  	15295344.619
-70.906,  	13110295.388
-70.907,  	16685830.494
-70.906,  	18354413.543
-70.908,  	16685830.494
-16.667,  	773.216
-16.683,  	1804.807
-16.681,  	2609.674
-16.668,  	3533.570
-16.676,  	3771.629
-16.677,  	3907.663
-16.687,  	4332.769
-14.657,  	1986.185
-14.656,  	2921.418
-14.656,  	2241.248
-14.663,  	3335.187
-14.651,  	2961.094
-14.651,  	3312.515
-13.449,  	1946.508
-13.453,  	2513.316
-13.451,  	2535.989
-13.450,  	2785.384
-13.459,  	2944.090
-10.939,  	325.438
-10.925,  	1368.365
-10.922,  	1272.007
-10.930,  	1555.411
-10.940,  	1521.403
-10.921,  	1447.718
-10.935,  	1674.441
-10.928,  	1923.836
-8.087,  	-343.395
-8.077,  	-660.807
-8.087,  	263.089
-8.086,  	268.758
-8.084,  	897.914
-8.083,  	750.544
