Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-06,,
Horizontal Delay,0,,
Sample Interval,2e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-05,-0.00421875,1.86719,3.2525
-9.998000e-06,-0.0046875,1.86906,3.25625
-9.996000e-06,-0.00421875,1.87047,3.25359
-9.994000e-06,-0.0065625,1.87078,3.25656
-9.992000e-06,-0.0046875,1.86781,3.25563
-9.990000e-06,-0.00421875,1.87016,3.25703
-9.988000e-06,-0.00515625,1.86984,3.25531
-9.986000e-06,-0.0078125,1.87062,3.25156
-9.984000e-06,-0.00640625,1.87,3.255
-9.982000e-06,-0.00703125,1.87031,3.25516
-9.980000e-06,-0.005625,1.86641,3.25422
-9.978000e-06,-0.00765625,1.87031,3.25906
-9.976000e-06,-0.00578125,1.86672,3.25703
-9.974000e-06,-0.0065625,1.86516,3.25484
-9.972000e-06,-0.00546875,1.86828,3.25656
-9.970000e-06,-0.00765625,1.86797,3.25531
-9.968000e-06,-0.00609375,1.86953,3.25391
-9.966000e-06,-0.0059375,1.86969,3.25531
-9.964000e-06,-0.00484375,1.86984,3.25453
-9.962000e-06,-0.00359375,1.86797,3.25578
-9.960000e-06,-0.008125,1.86906,3.25391
-9.958000e-06,-0.005625,1.86609,3.25297
-9.956000e-06,-0.00546875,1.86938,3.25266
-9.954000e-06,-0.0075,1.86828,3.25328
-9.952000e-06,-0.0071875,1.86625,3.25469
-9.950000e-06,-0.00625,1.87047,3.25844
-9.948000e-06,-0.00796875,1.86719,3.25359
-9.946000e-06,-0.00765625,1.86938,3.25625
-9.944000e-06,-0.0059375,1.86797,3.25188
-9.942000e-06,-0.0034375,1.86844,3.25719
-9.940000e-06,-0.008125,1.87125,3.25438
-9.938000e-06,-0.0071875,1.86813,3.25547
-9.936000e-06,-0.005625,1.87141,3.25547
-9.934000e-06,-0.00640625,1.86859,3.25266
-9.932000e-06,-0.0059375,1.86875,3.25609
-9.930000e-06,-0.0065625,1.86922,3.25422
-9.928000e-06,-0.005,1.87062,3.255
-9.926000e-06,-0.008125,1.86875,3.25875
-9.924000e-06,-0.005,1.86891,3.2525
-9.922000e-06,-0.0065625,1.87031,3.25266
-9.920000e-06,-0.00578125,1.86906,3.25375
-9.918000e-06,-0.0075,1.86484,3.25641
-9.916000e-06,-0.00578125,1.86938,3.25797
-9.914000e-06,-0.00625,1.87297,3.25859
-9.912000e-06,-0.00734375,1.86625,3.25453
-9.910000e-06,-0.00671875,1.86609,3.25406
-9.908000e-06,-0.00703125,1.86875,3.25266
-9.906000e-06,-0.00625,1.86859,3.25438
-9.904000e-06,-0.00640625,1.87031,3.25625
-9.902000e-06,-0.00796875,1.86922,3.25563
-9.900000e-06,-0.00609375,1.86906,3.25672
-9.898000e-06,-0.00609375,1.86859,3.25797
-9.896000e-06,-0.00828125,1.86969,3.25391
