Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-1.929600e-05,1.42,0
-1.929200e-05,1.42,-0.04
-1.928800e-05,1.42,-0.04
-1.928400e-05,1.42,0
-1.928000e-05,1.42,-0.04
-1.927600e-05,1.38,-0.04
-1.927200e-05,1.42,-0.04
-1.926800e-05,1.34,0
-1.926400e-05,1.38,-0.04
-1.926000e-05,1.42,-0.04
-1.925600e-05,1.38,-0.04
-1.925200e-05,1.42,-0.04
-1.924800e-05,1.42,-0.04
-1.924400e-05,1.38,-0.04
-1.924000e-05,1.38,-0.04
-1.923600e-05,1.42,-0.04
-1.923200e-05,1.38,-0.04
-1.922800e-05,1.42,-0.04
-1.922400e-05,1.38,-0.04
-1.922000e-05,1.42,-0.04
-1.921600e-05,1.42,-0.04
-1.921200e-05,1.38,-0.04
-1.920800e-05,1.42,0
-1.920400e-05,1.46,0
-1.920000e-05,1.42,0
-1.919600e-05,1.46,-0.04
-1.919200e-05,1.42,-0.04
-1.918800e-05,1.38,-0.04
-1.918400e-05,1.42,-0.04
-1.918000e-05,1.38,0
-1.917600e-05,1.42,-0.04
-1.917200e-05,1.42,-0.04
-1.916800e-05,1.42,-0.04
-1.916400e-05,1.42,0
-1.916000e-05,1.42,-0.04
-1.915600e-05,1.42,-0.04
-1.915200e-05,1.42,-0.04
-1.914800e-05,1.42,0
-1.914400e-05,1.46,-0.04
-1.914000e-05,1.42,-0.04
-1.913600e-05,1.42,0
-1.913200e-05,1.42,0
-1.912800e-05,1.38,0
-1.912400e-05,1.42,0
-1.912000e-05,1.42,-0.04
-1.911600e-05,1.46,-0.04
-1.911200e-05,1.42,-0.04
-1.910800e-05,1.38,-0.04
-1.910400e-05,1.42,-0.04
-1.910000e-05,1.38,0
-1.909600e-05,1.38,-0.04
-1.909200e-05,1.38,-0.04
-1.908800e-05,1.38,-0.04
-1.908400e-05,1.42,-0.04
-1.908000e-05,1.42,-0.04
-1.907600e-05,1.38,0
-1.907200e-05,1.42,-0.04
-1.906800e-05,1.38,0
-1.906400e-05,1.42,0
-1.906000e-05,1.42,0
-1.905600e-05,1.42,0
-1.905200e-05,1.38,-0.04
-1.904800e-05,1.42,-0.04
-1.904400e-05,1.46,0
-1.904000e-05,1.38,-0.04
-1.903600e-05,1.38,-0.04
-1.903200e-05,1.38,-0.04
-1.902800e-05,1.38,-0.04
-1.902400e-05,1.38,0
-1.902000e-05,1.46,-0.04
-1.901600e-05,1.42,-0.04
-1.901200e-05,1.38,0
-1.900800e-05,1.42,-0.04
-1.900400e-05,1.38,-0.04
-1.900000e-05,1.38,-0.04
-1.899600e-05,1.42,0
-1.899200e-05,1.42,-0.04
-1.898800e-05,1.42,-0.08
-1.898400e-05,1.46,0
-1.898000e-05,1.42,0
-1.897600e-05,1.38,-0.04
-1.897200e-05,1.42,-0.04
-1.896800e-05,1.46,-0.04
-1.896400e-05,1.42,-0.04
-1.896000e-05,1.42,-0.04
-1.895600e-05,1.46,-0.04
-1.895200e-05,1.46,-0.04
-1.894800e-05,1.42,0
-1.894400e-05,1.42,-0.04
-1.894000e-05,1.42,0
-1.893600e-05,1.42,0
-1.893200e-05,1.42,0
-1.892800e-05,1.42,0
-1.892400e-05,1.38,-0.04
-1.892000e-05,1.46,-0.04
-1.891600e-05,1.42,0
-1.891200e-05,1.42,-0.04
-1.890800e-05,1.46,0
-1.890400e-05,1.42,0
-1.890000e-05,1.38,-0.04
-1.889600e-05,1.42,-0.04
-1.889200e-05,1.42,0
-1.888800e-05,1.38,0
-1.888400e-05,1.42,0
-1.888000e-05,1.46,-0.04
-1.887600e-05,1.38,-0.04
-1.887200e-05,1.42,0
-1.886800e-05,1.42,-0.08
-1.886400e-05,1.38,-0.04
-1.886000e-05,1.38,0
-1.885600e-05,1.38,-0.04
-1.885200e-05,1.42,0
-1.884800e-05,1.42,0
-1.884400e-05,1.38,0
-1.884000e-05,1.42,-0.04
-1.883600e-05,1.38,-0.04
-1.883200e-05,1.42,-0.04
-1.882800e-05,1.42,-0.04
-1.882400e-05,1.42,-0.04
-1.882000e-05,1.38,-0.04
-1.881600e-05,1.42,0
-1.881200e-05,1.42,-0.04
-1.880800e-05,1.42,0
-1.880400e-05,1.42,0
-1.880000e-05,1.42,-0.04
-1.879600e-05,1.46,0
-1.879200e-05,1.42,-0.04
-1.878800e-05,1.46,-0.04
-1.878400e-05,1.42,0
-1.878000e-05,1.38,-0.04
-1.877600e-05,1.42,-0.04
-1.877200e-05,1.42,-0.04
-1.876800e-05,1.38,-0.04
-1.876400e-05,1.42,-0.04
-1.876000e-05,1.38,-0.04
-1.875600e-05,1.42,0
-1.875200e-05,1.42,-0.04
-1.874800e-05,1.38,-0.04
-1.874400e-05,1.42,0
-1.874000e-05,1.42,-0.04
-1.873600e-05,1.42,-0.04
-1.873200e-05,1.42,-0.04
-1.872800e-05,1.42,0
-1.872400e-05,1.38,-0.04
-1.872000e-05,1.42,0
-1.871600e-05,1.42,-0.04
-1.871200e-05,1.46,0
-1.870800e-05,1.42,-0.04
-1.870400e-05,1.38,-0.04
-1.870000e-05,1.42,-0.04
-1.869600e-05,1.38,0
-1.869200e-05,1.42,0
-1.868800e-05,1.38,-0.04
-1.868400e-05,1.42,0
-1.868000e-05,1.42,0
-1.867600e-05,1.42,-0.04
-1.867200e-05,1.38,-0.04
-1.866800e-05,1.38,-0.04
-1.866400e-05,1.42,0
-1.866000e-05,1.46,0
-1.865600e-05,1.46,0
-1.865200e-05,1.42,-0.04
-1.864800e-05,1.42,0
-1.864400e-05,1.42,0
-1.864000e-05,1.38,-0.04
-1.863600e-05,1.42,-0.04
-1.863200e-05,1.46,0
-1.862800e-05,1.42,0
-1.862400e-05,1.46,-0.04
-1.862000e-05,1.38,-0.04
-1.861600e-05,1.46,-0.04
-1.861200e-05,1.38,0
-1.860800e-05,1.42,-0.04
-1.860400e-05,1.34,0
-1.860000e-05,1.42,0
-1.859600e-05,1.38,-0.04
-1.859200e-05,1.42,0
-1.858800e-05,1.42,-0.04
-1.858400e-05,1.42,0
-1.858000e-05,1.38,0
-1.857600e-05,1.42,-0.04
-1.857200e-05,1.38,-0.04
-1.856800e-05,1.42,-0.04
-1.856400e-05,1.46,0
-1.856000e-05,1.42,0
-1.855600e-05,1.42,-0.04
-1.855200e-05,1.42,-0.04
-1.854800e-05,1.42,0
-1.854400e-05,1.42,-0.04
-1.854000e-05,1.42,0
-1.853600e-05,1.42,0
-1.853200e-05,1.42,-0.04
-1.852800e-05,1.42,-0.04
-1.852400e-05,1.42,0
-1.852000e-05,1.38,-0.04
-1.851600e-05,1.42,-0.04
-1.851200e-05,1.42,0
-1.850800e-05,1.42,-0.04
-1.850400e-05,1.42,-0.04
-1.850000e-05,1.42,-0.04
-1.849600e-05,1.38,-0.04
-1.849200e-05,1.38,0
-1.848800e-05,1.38,0
-1.848400e-05,1.38,-0.04
-1.848000e-05,1.42,0
-1.847600e-05,1.38,0
-1.847200e-05,1.46,-0.04
-1.846800e-05,1.46,-0.04
-1.846400e-05,1.42,0
-1.846000e-05,1.42,-0.04
-1.845600e-05,1.42,0
-1.845200e-05,1.38,-0.04
-1.844800e-05,1.38,-0.04
-1.844400e-05,1.42,-0.04
-1.844000e-05,1.38,-0.04
-1.843600e-05,1.38,-0.04
-1.843200e-05,1.38,-0.04
-1.842800e-05,1.42,-0.04
-1.842400e-05,1.42,0
-1.842000e-05,1.46,-0.04
-1.841600e-05,1.42,0
-1.841200e-05,1.42,-0.04
-1.840800e-05,1.42,-0.04
-1.840400e-05,1.46,-0.04
-1.840000e-05,1.42,0
-1.839600e-05,1.42,0
-1.839200e-05,1.42,0
-1.838800e-05,1.42,-0.04
-1.838400e-05,1.46,-0.04
-1.838000e-05,1.42,-0.04
-1.837600e-05,1.46,0
-1.837200e-05,1.42,-0.04
-1.836800e-05,1.46,-0.04
-1.836400e-05,1.38,0
-1.836000e-05,1.38,-0.04
-1.835600e-05,1.42,0
-1.835200e-05,1.42,0
-1.834800e-05,1.42,-0.04
-1.834400e-05,1.42,-0.04
-1.834000e-05,1.42,-0.04
-1.833600e-05,1.38,0
-1.833200e-05,1.42,-0.04
-1.832800e-05,1.38,0
-1.832400e-05,1.42,-0.04
-1.832000e-05,1.38,0
-1.831600e-05,1.46,-0.04
-1.831200e-05,1.38,-0.04
-1.830800e-05,1.38,0
-1.830400e-05,1.38,0
-1.830000e-05,1.38,-0.04
-1.829600e-05,1.38,-0.08
-1.829200e-05,1.38,-0.04
-1.828800e-05,1.42,0
-1.828400e-05,1.42,-0.04
-1.828000e-05,1.42,-0.04
-1.827600e-05,1.38,-0.04
-1.827200e-05,1.38,0
-1.826800e-05,1.42,-0.04
-1.826400e-05,1.42,0
-1.826000e-05,1.42,0
-1.825600e-05,1.38,-0.04
-1.825200e-05,1.38,-0.04
-1.824800e-05,1.42,0
-1.824400e-05,1.42,0
-1.824000e-05,1.42,-0.04
-1.823600e-05,1.42,-0.04
-1.823200e-05,1.42,-0.04
-1.822800e-05,1.38,0
-1.822400e-05,1.38,-0.04
-1.822000e-05,1.42,0
-1.821600e-05,1.38,-0.04
-1.821200e-05,1.42,-0.04
-1.820800e-05,1.42,-0.04
-1.820400e-05,1.38,-0.04
-1.820000e-05,1.38,-0.04
-1.819600e-05,1.42,-0.04
-1.819200e-05,1.42,-0.04
-1.818800e-05,1.38,-0.04
-1.818400e-05,1.42,-0.04
-1.818000e-05,1.38,-0.04
-1.817600e-05,1.42,-0.04
-1.817200e-05,1.42,-0.04
-1.816800e-05,1.38,-0.04
-1.816400e-05,1.42,0
-1.816000e-05,1.38,0
-1.815600e-05,1.42,-0.04
-1.815200e-05,1.42,0
-1.814800e-05,1.42,-0.04
-1.814400e-05,1.38,-0.04
-1.814000e-05,1.42,-0.04
-1.813600e-05,1.42,-0.04
-1.813200e-05,1.42,0
-1.812800e-05,1.42,-0.04
-1.812400e-05,1.42,-0.04
-1.812000e-05,1.38,0
-1.811600e-05,1.46,0
-1.811200e-05,1.38,-0.04
