Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-3.908000e-06,1.36719,1.43469,-0.0576562
-3.907200e-06,1.36609,1.43484,-0.0551563
-3.906400e-06,1.36766,1.4375,-0.0592188
-3.905600e-06,1.36813,1.43234,-0.0589063
-3.904800e-06,1.365,1.43281,-0.0582812
-3.904000e-06,1.36203,1.43359,-0.059375
-3.903200e-06,1.36734,1.43391,-0.0598438
-3.902400e-06,1.37,1.43953,-0.0554688
-3.901600e-06,1.36094,1.43328,-0.0584375
-3.900800e-06,1.36219,1.43547,-0.0592188
-3.900000e-06,1.36344,1.43578,-0.05875
-3.899200e-06,1.36734,1.43766,-0.0582812
-3.898400e-06,1.36813,1.43703,-0.059375
-3.897600e-06,1.36719,1.43281,-0.058125
-3.896800e-06,1.36375,1.4375,-0.0567187
-3.896000e-06,1.36469,1.43437,-0.058125
-3.895200e-06,1.36844,1.43547,-0.0584375
-3.894400e-06,1.36688,1.43625,-0.06
-3.893600e-06,1.36469,1.43469,-0.0578125
-3.892800e-06,1.36516,1.43422,-0.0601563
-3.892000e-06,1.36344,1.43141,-0.0590625
-3.891200e-06,1.36688,1.43609,-0.0596875
-3.890400e-06,1.36578,1.43453,-0.059375
-3.889600e-06,1.36266,1.43781,-0.0592188
-3.888800e-06,1.36469,1.43484,-0.0598438
-3.888000e-06,1.36859,1.43672,-0.059375
-3.887200e-06,1.36656,1.43359,-0.0575
-3.886400e-06,1.3625,1.43344,-0.0578125
-3.885600e-06,1.36391,1.43578,-0.0590625
-3.884800e-06,1.36734,1.43516,-0.0595313
-3.884000e-06,1.36594,1.43734,-0.0578125
-3.883200e-06,1.36609,1.43578,-0.059375
-3.882400e-06,1.36719,1.43469,-0.0576562
-3.881600e-06,1.36625,1.43281,-0.0575
-3.880800e-06,1.36844,1.43688,-0.0592188
-3.880000e-06,1.36781,1.43172,-0.0584375
-3.879200e-06,1.36469,1.435,-0.0584375
-3.878400e-06,1.36609,1.43469,-0.059375
-3.877600e-06,1.36797,1.43391,-0.0589063
-3.876800e-06,1.37062,1.43844,-0.0559375
-3.876000e-06,1.36234,1.43406,-0.059375
-3.875200e-06,1.36312,1.43359,-0.0595313
-3.874400e-06,1.36281,1.43547,-0.0590625
-3.873600e-06,1.36656,1.43547,-0.0584375
-3.872800e-06,1.37031,1.43688,-0.0589063
-3.872000e-06,1.36844,1.43297,-0.0579687
-3.871200e-06,1.36594,1.43828,-0.0573437
-3.870400e-06,1.365,1.43578,-0.0589063
-3.869600e-06,1.36875,1.43625,-0.0598438
-3.868800e-06,1.36328,1.43563,-0.0596875
-3.868000e-06,1.36453,1.43234,-0.0567187
-3.867200e-06,1.36578,1.43641,-0.06
-3.866400e-06,1.36297,1.43266,-0.059375
-3.865600e-06,1.36469,1.43547,-0.0601563
-3.864800e-06,1.36391,1.43391,-0.0592188
-3.864000e-06,1.36328,1.43516,-0.05875
-3.863200e-06,1.36578,1.43422,-0.0596875
-3.862400e-06,1.37141,1.43703,-0.0584375
-3.861600e-06,1.36813,1.43266,-0.0575
-3.860800e-06,1.36406,1.43234,-0.0578125
-3.860000e-06,1.36594,1.43547,-0.059375
-3.859200e-06,1.36766,1.43344,-0.059375
-3.858400e-06,1.36594,1.43672,-0.0570312
-3.857600e-06,1.36859,1.43547,-0.059375
-3.856800e-06,1.36844,1.43375,-0.0585938
-3.856000e-06,1.36641,1.43469,-0.0567187
-3.855200e-06,1.36734,1.43703,-0.059375
-3.854400e-06,1.36891,1.4325,-0.0590625
-3.853600e-06,1.36594,1.43406,-0.0598438
-3.852800e-06,1.36375,1.43594,-0.059375
-3.852000e-06,1.36844,1.43484,-0.0584375
-3.851200e-06,1.37078,1.43719,-0.0585938
-3.850400e-06,1.36297,1.43156,-0.0582812
-3.849600e-06,1.36344,1.43453,-0.0595313
-3.848800e-06,1.36219,1.43484,-0.05875
-3.848000e-06,1.36656,1.43531,-0.05875
-3.847200e-06,1.37094,1.43625,-0.0590625
-3.846400e-06,1.36844,1.43219,-0.0578125
-3.845600e-06,1.36531,1.43766,-0.0575
-3.844800e-06,1.3675,1.43547,-0.058125
-3.844000e-06,1.36781,1.43781,-0.0573437
-3.843200e-06,1.36688,1.43406,-0.0595313
-3.842400e-06,1.36328,1.43281,-0.0578125
-3.841600e-06,1.36563,1.43703,-0.0589063
-3.840800e-06,1.36109,1.43203,-0.0592188
-3.840000e-06,1.36922,1.43531,-0.0598438
-3.839200e-06,1.36516,1.43719,-0.05875
-3.838400e-06,1.36453,1.43531,-0.059375
-3.837600e-06,1.36406,1.43563,-0.0592188
-3.836800e-06,1.37016,1.43734,-0.0585938
-3.836000e-06,1.36688,1.43312,-0.0573437
-3.835200e-06,1.36344,1.4325,-0.0575
-3.834400e-06,1.36359,1.435,-0.0592188
-3.833600e-06,1.36547,1.43484,-0.0596875
-3.832800e-06,1.36703,1.43672,-0.0575
-3.832000e-06,1.36891,1.43688,-0.05875
-3.831200e-06,1.3675,1.43359,-0.0578125
-3.830400e-06,1.36531,1.43375,-0.0578125
-3.829600e-06,1.36766,1.43688,-0.059375
-3.828800e-06,1.36359,1.43156,-0.05875
-3.828000e-06,1.36531,1.43234,-0.059375
-3.827200e-06,1.3625,1.43234,-0.0590625
-3.826400e-06,1.36953,1.43422,-0.0590625
-3.825600e-06,1.36969,1.43625,-0.05625
