Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,
TIME,CH1,CH2
-4.809000e+00,1.08,3.4
-4.808000e+00,1.22,3.4
-4.807000e+00,1.34,3.32
-4.806000e+00,1.32,3.4
-4.805000e+00,1.3,3.4
-4.804000e+00,1.34,3.4
-4.803000e+00,1.3,3.4
-4.802000e+00,1.3,3.44
-4.801000e+00,1.28,3.44
-4.800000e+00,1.32,3.4
-4.799000e+00,1.82,3.44
-4.798000e+00,1.08,3.4
-4.797000e+00,1.46,3.4
-4.796000e+00,1.36,3.4
-4.795000e+00,1.32,3.36
-4.794000e+00,1.24,3.4
-4.793000e+00,1.06,3.4
-4.792000e+00,1.16,3.4
-4.791000e+00,1.22,3.4
-4.790000e+00,1.02,3.4
-4.789000e+00,1.26,3.4
-4.788000e+00,1.32,3.4
-4.787000e+00,1.28,3.44
-4.786000e+00,1.24,3.4
-4.785000e+00,1.32,3.44
-4.784000e+00,1.4,3.4
-4.783000e+00,1.34,3.4
-4.782000e+00,1.26,3.44
-4.781000e+00,1.3,3.44
-4.780000e+00,1.46,3.4
-4.779000e+00,1.32,3.4
-4.778000e+00,1.28,3.4
-4.777000e+00,1.26,3.4
-4.776000e+00,1.12,3.4
-4.775000e+00,1.14,3.4
-4.774000e+00,1.12,3.4
-4.773000e+00,1.26,3.4
-4.772000e+00,1.24,3.44
-4.771000e+00,1.3,3.44
-4.770000e+00,1.28,3.4
-4.769000e+00,1.32,3.44
-4.768000e+00,1.26,3.44
-4.767000e+00,1.22,3.4
-4.766000e+00,1.36,3.44
-4.765000e+00,1.26,3.44
-4.764000e+00,1.4,3.4
-4.763000e+00,1.3,3.4
-4.762000e+00,1.26,3.4
-4.761000e+00,1.26,3.4
-4.760000e+00,0.96,3.4
-4.759000e+00,1,3.4
-4.758000e+00,1.14,3.4
-4.757000e+00,1.08,3.4
-4.756000e+00,1.14,3.44
-4.755000e+00,1.24,3.44
-4.754000e+00,1.24,3.4
-4.753000e+00,1.22,3.4
-4.752000e+00,1.22,3.44
-4.751000e+00,1.26,3.4
-4.750000e+00,1.24,3.44
-4.749000e+00,1.56,3.44
-4.748000e+00,1.72,3.4
-4.747000e+00,1.4,3.44
-4.746000e+00,1.32,3.44
-4.745000e+00,1.28,3.4
-4.744000e+00,1.16,3.44
-4.743000e+00,0.92,3.44
-4.742000e+00,1.08,3.4
-4.741000e+00,1.18,3.4
-4.740000e+00,1.46,3.44
-4.739000e+00,1.24,3.44
-4.738000e+00,1.22,3.44
-4.737000e+00,1.22,3.44
-4.736000e+00,1.24,3.44
-4.735000e+00,1.32,3.4
-4.734000e+00,1.26,3.4
-4.733000e+00,1.28,3.4
-4.732000e+00,1.72,3.4
-4.731000e+00,1.32,3.44
-4.730000e+00,1.36,3.44
-4.729000e+00,1.24,3.44
-4.728000e+00,1.22,3.4
-4.727000e+00,1.18,3.44
-4.726000e+00,0.98,3.4
-4.725000e+00,1.1,3.4
-4.724000e+00,1.02,3.44
-4.723000e+00,0.76,3.4
-4.722000e+00,1.2,3.4
-4.721000e+00,1.24,3.44
-4.720000e+00,1.22,3.44
-4.719000e+00,1.22,3.4
-4.718000e+00,1.12,3.36
-4.717000e+00,1.26,3.4
-4.716000e+00,1.3,3.44
-4.715000e+00,1.38,3.36
-4.714000e+00,1.3,3.4
-4.713000e+00,1.26,3.44
-4.712000e+00,1.22,3.4
-4.711000e+00,1.18,3.44
-4.710000e+00,0.96,3.44
-4.709000e+00,1.04,3.44
-4.708000e+00,1.08,3.36
-4.707000e+00,1.02,3.4
-4.706000e+00,1.18,3.44
-4.705000e+00,1.18,3.36
-4.704000e+00,1.18,3.44
-4.703000e+00,1.16,3.4
-4.702000e+00,1.2,3.4
-4.701000e+00,1.28,3.4
-4.700000e+00,1.2,3.44
-4.699000e+00,1.38,3.4
-4.698000e+00,1.26,3.4
-4.697000e+00,1.34,3.44
-4.696000e+00,1.26,3.4
-4.695000e+00,1.2,3.44
-4.694000e+00,1.14,3.44
-4.693000e+00,0.96,3.44
-4.692000e+00,1.02,3.44
-4.691000e+00,1.12,3.4
-4.690000e+00,1.14,3.4
-4.689000e+00,1.18,3.4
-4.688000e+00,1.12,3.4
-4.687000e+00,1.18,3.4
-4.686000e+00,1.2,3.4
-4.685000e+00,1.1,3.44
-4.684000e+00,1.12,3.36
-4.683000e+00,1.22,3.44
-4.682000e+00,1.14,3.44
-4.681000e+00,1.26,3.4
-4.680000e+00,1.32,3.4
-4.679000e+00,1.2,3.44
-4.678000e+00,1.18,3.44
-4.677000e+00,1.1,3.4
-4.676000e+00,0.88,3.4
-4.675000e+00,1.02,3.4
-4.674000e+00,0.98,3.4
-4.673000e+00,1.16,3.36
-4.672000e+00,1.14,3.4
-4.671000e+00,1.16,3.4
-4.670000e+00,1.14,3.36
-4.669000e+00,1.08,3.44
-4.668000e+00,1.26,3.44
-4.667000e+00,1.2,3.44
-4.666000e+00,1.2,3.4
-4.665000e+00,1.68,3.36
-4.664000e+00,1.26,3.4
-4.663000e+00,1.24,3.4
-4.662000e+00,1.16,3.4
-4.661000e+00,1.12,3.4
-4.660000e+00,1,3.4
-4.659000e+00,0.94,3.4
