Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-4.824000e-04,1.42,-0.08
-4.823000e-04,1.42,-0.04
-4.822000e-04,1.42,0
-4.821000e-04,1.42,0
-4.820000e-04,1.42,-0.04
-4.819000e-04,1.42,-0.04
-4.818000e-04,1.42,-0.04
-4.817000e-04,1.38,-0.04
-4.816000e-04,1.42,-0.04
-4.815000e-04,1.42,-0.04
-4.814000e-04,1.42,-0.04
-4.813000e-04,1.42,-0.04
-4.812000e-04,1.42,-0.04
-4.811000e-04,1.38,-0.04
-4.810000e-04,1.46,-0.04
-4.809000e-04,1.42,-0.04
-4.808000e-04,1.42,-0.04
-4.807000e-04,1.42,0
-4.806000e-04,1.42,0
-4.805000e-04,1.38,-0.04
-4.804000e-04,1.46,0
-4.803000e-04,1.42,-0.04
-4.802000e-04,1.42,-0.04
-4.801000e-04,1.38,0
-4.800000e-04,1.42,-0.04
-4.799000e-04,1.38,0
-4.798000e-04,1.46,-0.04
-4.797000e-04,1.42,0
-4.796000e-04,1.42,0
-4.795000e-04,1.38,0
-4.794000e-04,1.38,-0.04
-4.793000e-04,1.42,-0.04
-4.792000e-04,1.42,-0.04
-4.791000e-04,1.42,0
-4.790000e-04,1.42,-0.04
-4.789000e-04,1.42,0
-4.788000e-04,1.38,-0.04
-4.787000e-04,1.38,-0.04
-4.786000e-04,1.42,0
-4.785000e-04,1.42,0
-4.784000e-04,1.42,-0.04
-4.783000e-04,1.38,-0.04
-4.782000e-04,1.42,0
-4.781000e-04,1.38,0
-4.780000e-04,1.42,-0.04
-4.779000e-04,1.46,-0.04
-4.778000e-04,1.42,0
-4.777000e-04,1.42,-0.04
-4.776000e-04,1.38,-0.04
-4.775000e-04,1.42,-0.04
-4.774000e-04,1.42,-0.04
-4.773000e-04,1.42,-0.04
-4.772000e-04,1.38,0
-4.771000e-04,1.42,-0.04
-4.770000e-04,1.42,0
-4.769000e-04,1.46,-0.04
-4.768000e-04,1.38,-0.04
-4.767000e-04,1.42,-0.04
-4.766000e-04,1.46,-0.04
-4.765000e-04,1.42,-0.04
-4.764000e-04,1.42,0
-4.763000e-04,1.42,-0.04
-4.762000e-04,1.38,-0.04
-4.761000e-04,1.42,-0.04
-4.760000e-04,1.42,-0.04
-4.759000e-04,1.42,0
-4.758000e-04,1.42,-0.04
-4.757000e-04,1.42,0
-4.756000e-04,1.42,-0.04
-4.755000e-04,1.38,0
-4.754000e-04,1.42,-0.04
-4.753000e-04,1.42,-0.04
-4.752000e-04,1.38,-0.04
-4.751000e-04,1.46,0
-4.750000e-04,1.46,-0.04
-4.749000e-04,1.42,-0.04
-4.748000e-04,1.42,-0.04
-4.747000e-04,1.42,-0.04
-4.746000e-04,1.38,-0.04
-4.745000e-04,1.46,-0.04
-4.744000e-04,1.38,0
-4.743000e-04,1.46,-0.04
-4.742000e-04,1.46,0
-4.741000e-04,1.38,-0.04
-4.740000e-04,1.46,-0.04
-4.739000e-04,1.42,-0.04
-4.738000e-04,1.42,-0.04
-4.737000e-04,1.42,-0.04
-4.736000e-04,1.42,0
-4.735000e-04,1.42,-0.04
-4.734000e-04,1.46,-0.04
-4.733000e-04,1.38,-0.04
-4.732000e-04,1.38,-0.04
-4.731000e-04,1.42,0
-4.730000e-04,1.34,-0.04
-4.729000e-04,1.38,-0.04
-4.728000e-04,1.42,0
-4.727000e-04,1.42,-0.04
-4.726000e-04,1.42,0
-4.725000e-04,1.38,-0.04
-4.724000e-04,1.38,-0.04
-4.723000e-04,1.46,-0.04
-4.722000e-04,1.38,-0.04
-4.721000e-04,1.42,-0.04
-4.720000e-04,1.42,0
-4.719000e-04,1.42,-0.04
-4.718000e-04,1.38,-0.04
-4.717000e-04,1.42,0
-4.716000e-04,1.42,-0.04
-4.715000e-04,1.38,-0.04
-4.714000e-04,1.38,-0.04
-4.713000e-04,1.42,0
-4.712000e-04,1.46,0
-4.711000e-04,1.42,-0.04
-4.710000e-04,1.42,0
-4.709000e-04,1.42,-0.04
-4.708000e-04,1.46,0
-4.707000e-04,1.42,0
-4.706000e-04,1.42,-0.04
-4.705000e-04,1.38,-0.04
-4.704000e-04,1.42,-0.04
-4.703000e-04,1.46,-0.04
-4.702000e-04,1.42,-0.04
-4.701000e-04,1.42,0
-4.700000e-04,1.42,0
-4.699000e-04,1.42,-0.04
-4.698000e-04,1.38,-0.04
-4.697000e-04,1.38,0
-4.696000e-04,1.42,-0.04
-4.695000e-04,1.42,-0.04
-4.694000e-04,1.42,0
-4.693000e-04,1.42,-0.08
-4.692000e-04,1.46,-0.04
-4.691000e-04,1.38,0
-4.690000e-04,1.42,-0.04
-4.689000e-04,1.42,-0.04
-4.688000e-04,1.42,-0.04
-4.687000e-04,1.42,-0.04
-4.686000e-04,1.38,0
-4.685000e-04,1.42,0
-4.684000e-04,1.38,-0.04
-4.683000e-04,1.42,0
-4.682000e-04,1.38,-0.04
-4.681000e-04,1.42,-0.04
-4.680000e-04,1.42,0
-4.679000e-04,1.42,-0.04
-4.678000e-04,1.46,-0.04
-4.677000e-04,1.42,-0.04
-4.676000e-04,1.42,-0.04
-4.675000e-04,1.42,0
-4.674000e-04,1.42,0
-4.673000e-04,1.38,-0.04
-4.672000e-04,1.42,-0.04
-4.671000e-04,1.46,-0.04
-4.670000e-04,1.42,-0.08
-4.669000e-04,1.38,-0.04
-4.668000e-04,1.46,-0.04
-4.667000e-04,1.42,0
-4.666000e-04,1.42,-0.04
-4.665000e-04,1.42,0
-4.664000e-04,1.46,0
-4.663000e-04,1.46,-0.04
-4.662000e-04,1.46,0
-4.661000e-04,1.38,-0.04
-4.660000e-04,1.42,-0.04
-4.659000e-04,1.38,-0.04
-4.658000e-04,1.38,-0.04
-4.657000e-04,1.38,-0.08
-4.656000e-04,1.42,-0.04
-4.655000e-04,1.38,-0.04
-4.654000e-04,1.42,-0.04
-4.653000e-04,1.42,-0.04
-4.652000e-04,1.38,-0.04
-4.651000e-04,1.38,-0.04
-4.650000e-04,1.38,0
-4.649000e-04,1.42,-0.04
-4.648000e-04,1.42,-0.04
-4.647000e-04,1.42,0
-4.646000e-04,1.42,-0.04
-4.645000e-04,1.42,0
-4.644000e-04,1.38,-0.04
-4.643000e-04,1.42,0
-4.642000e-04,1.42,-0.04
-4.641000e-04,1.42,-0.04
-4.640000e-04,1.38,-0.04
-4.639000e-04,1.42,-0.04
-4.638000e-04,1.42,-0.04
-4.637000e-04,1.38,0
-4.636000e-04,1.42,-0.04
-4.635000e-04,1.42,-0.04
-4.634000e-04,1.42,0
-4.633000e-04,1.46,-0.04
-4.632000e-04,1.38,-0.04
-4.631000e-04,1.42,0
-4.630000e-04,1.42,-0.04
-4.629000e-04,1.42,0
-4.628000e-04,1.42,-0.04
-4.627000e-04,1.42,-0.04
-4.626000e-04,1.42,-0.04
-4.625000e-04,1.42,0
-4.624000e-04,1.38,-0.04
