Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-06,,
Horizontal Delay,0,,
Sample Interval,2e-09,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-1.000000e-05,1.36391,1.43359,-0.0564062
-9.998000e-06,1.36078,1.43609,-0.0548438
-9.996000e-06,1.36203,1.435,-0.0557813
-9.994000e-06,1.36219,1.43641,-0.05375
-9.992000e-06,1.36297,1.43453,-0.0589063
-9.990000e-06,1.35938,1.43094,-0.0528125
-9.988000e-06,1.36203,1.43688,-0.0565625
-9.986000e-06,1.36016,1.4325,-0.0529688
-9.984000e-06,1.36141,1.43437,-0.058125
-9.982000e-06,1.36031,1.43063,-0.0528125
-9.980000e-06,1.355,1.43375,-0.0575
-9.978000e-06,1.35844,1.43453,-0.054375
-9.976000e-06,1.36578,1.43672,-0.0546875
-9.974000e-06,1.36422,1.43406,-0.0540625
-9.972000e-06,1.35891,1.43281,-0.0546875
-9.970000e-06,1.3625,1.43563,-0.0567187
-9.968000e-06,1.36047,1.43234,-0.0585938
-9.966000e-06,1.35891,1.43641,-0.0553125
-9.964000e-06,1.36281,1.43594,-0.0567187
-9.962000e-06,1.36078,1.43437,-0.0532813
-9.960000e-06,1.36375,1.43328,-0.0523438
-9.958000e-06,1.36266,1.43719,-0.0575
-9.956000e-06,1.36344,1.43234,-0.0564062
-9.954000e-06,1.36359,1.43406,-0.0557813
-9.952000e-06,1.35875,1.43516,-0.0573437
-9.950000e-06,1.35844,1.43375,-0.0571875
-9.948000e-06,1.36641,1.4375,-0.0523438
-9.946000e-06,1.35969,1.4325,-0.055625
-9.944000e-06,1.35938,1.4325,-0.05625
-9.942000e-06,1.35859,1.43531,-0.0534375
-9.940000e-06,1.36109,1.43844,-0.0564062
-9.938000e-06,1.36266,1.43594,-0.0567187
-9.936000e-06,1.36141,1.43391,-0.0565625
-9.934000e-06,1.36187,1.43672,-0.0546875
-9.932000e-06,1.36203,1.43547,-0.0575
-9.930000e-06,1.36094,1.43641,-0.0525
-9.928000e-06,1.35891,1.43406,-0.0571875
-9.926000e-06,1.36109,1.43063,-0.0521875
-9.924000e-06,1.36125,1.43656,-0.0579687
-9.922000e-06,1.36047,1.43188,-0.0532813
-9.920000e-06,1.35891,1.43578,-0.05875
-9.918000e-06,1.36016,1.43312,-0.054375
-9.916000e-06,1.35797,1.43422,-0.0576562
-9.914000e-06,1.35813,1.43469,-0.0545313
-9.912000e-06,1.36609,1.43719,-0.0557813
-9.910000e-06,1.36375,1.43234,-0.05375
-9.908000e-06,1.35969,1.43219,-0.0546875
-9.906000e-06,1.36062,1.435,-0.0564062
-9.904000e-06,1.36281,1.43453,-0.0578125
-9.902000e-06,1.36172,1.43781,-0.0554688
-9.900000e-06,1.35922,1.43609,-0.0584375
-9.898000e-06,1.35969,1.43391,-0.0526563
-9.896000e-06,1.36297,1.43422,-0.0517188
