Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,0,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-5.000000e-05,-0.0189062,1.82375,3.23953
-4.999000e-05,-0.019375,1.8225,3.23875
-4.998000e-05,-0.019375,1.82188,3.24078
-4.997000e-05,-0.0196875,1.82313,3.23969
-4.996000e-05,-0.0201563,1.82109,3.2425
-4.995000e-05,-0.0189062,1.82141,3.23797
-4.994000e-05,-0.0203125,1.82234,3.23781
-4.993000e-05,-0.0195312,1.82234,3.235
-4.992000e-05,-0.0201563,1.82344,3.23891
-4.991000e-05,-0.0198438,1.82234,3.23844
-4.990000e-05,-0.0204688,1.8225,3.23359
-4.989000e-05,-0.0201563,1.82125,3.23641
-4.988000e-05,-0.02,1.825,3.24125
-4.987000e-05,-0.01875,1.82344,3.23875
-4.986000e-05,-0.0196875,1.82125,3.23578
-4.985000e-05,-0.0195312,1.82219,3.23781
-4.984000e-05,-0.0203125,1.82328,3.2375
-4.983000e-05,-0.0195312,1.82438,3.23828
-4.982000e-05,-0.0204688,1.82516,3.23859
-4.981000e-05,-0.0176563,1.82516,3.23891
-4.980000e-05,-0.0182812,1.82359,3.23953
-4.979000e-05,-0.0204688,1.82391,3.23891
-4.978000e-05,-0.019375,1.82391,3.23734
-4.977000e-05,-0.0196875,1.82578,3.23891
-4.976000e-05,-0.0196875,1.82297,3.23531
-4.975000e-05,-0.0201563,1.82516,3.23813
-4.974000e-05,-0.0184375,1.82719,3.24156
-4.973000e-05,-0.0203125,1.82391,3.2375
-4.972000e-05,-0.0204688,1.8225,3.23687
-4.971000e-05,-0.0195312,1.82141,3.23516
-4.970000e-05,-0.0195312,1.82375,3.23875
-4.969000e-05,-0.0203125,1.82484,3.23828
-4.968000e-05,-0.019375,1.82563,3.23891
-4.967000e-05,-0.0189062,1.82219,3.23797
-4.966000e-05,-0.019375,1.82609,3.23687
-4.965000e-05,-0.0198438,1.82594,3.23984
-4.964000e-05,-0.0203125,1.82453,3.23469
-4.963000e-05,-0.0189062,1.81891,3.23547
-4.962000e-05,-0.020625,1.82219,3.23937
-4.961000e-05,-0.02,1.82125,3.23703
-4.960000e-05,-0.0203125,1.82609,3.23703
-4.959000e-05,-0.0195312,1.82297,3.23734
-4.958000e-05,-0.02,1.82219,3.23484
-4.957000e-05,-0.02,1.82422,3.23797
-4.956000e-05,-0.0198438,1.82797,3.24469
-4.955000e-05,-0.0189062,1.82328,3.23953
-4.954000e-05,-0.02,1.82063,3.23516
-4.953000e-05,-0.0210938,1.82469,3.23891
-4.952000e-05,-0.0203125,1.82406,3.23906
-4.951000e-05,-0.019375,1.82656,3.23859
-4.950000e-05,-0.0203125,1.82484,3.23906
-4.949000e-05,-0.01875,1.82406,3.23906
-4.948000e-05,-0.0184375,1.82375,3.23813
