-37.473,  	1184829.125
-37.471,  	1184829.125
-37.465,  	1181504.688
-37.462,  	1184829.125
-37.459,  	1170339.830
-37.454,  	1154298.988
-37.450,  	1171642.379
-37.450,  	1186832.781
-37.450,  	1190187.312
-37.449,  	1182168.082
-48.024,  	4875964.229
-48.022,  	4748401.791
-48.021,  	4772079.226
-48.018,  	4649826.312
-48.015,  	4456903.798
-48.013,  	4348288.629
-48.011,  	4415774.652
-48.010,  	4456903.798
-48.008,  	4498806.313
-48.007,  	4291564.114
-48.012,  	4388164.557
-48.011,  	4339326.781
-64.394,  	29729474.079
-64.393,  	30745346.879
-64.386,  	31518583.148
-64.385,  	30862523.516
-64.385,  	28215509.974
-64.386,  	28042639.242
-64.386,  	29604068.536
-64.386,  	29496236.401
-64.390,  	29266629.890
-64.387,  	28459601.977
-64.385,  	28661058.458
-64.386,  	28298942.934
-64.387,  	28559974.963
-64.383,  	28952713.893
-64.388,  	28544486.907
-64.390,  	29413821.658
-64.393,  	29545907.301
-64.395,  	29704308.046
-64.392,  	29340041.169
-68.790,  	49516494.692
-68.784,  	46870911.716
-68.783,  	44930459.972
-68.778,  	44739510.291
-68.777,  	45297791.616
-68.782,  	45513215.614
-68.784,  	43572875.710
-68.790,  	43572875.710
-68.789,  	24679149.033
-68.788,  	40520426.372
-68.790,  	40993795.839
-68.786,  	42260966.565
-68.783,  	42397127.553
-68.782,  	41824421.023
-68.781,  	40803127.021
-68.780,  	41642431.849
-68.778,  	41121901.451
-68.780,  	37490052.605
-68.779,  	35758175.175
-68.778,  	34766204.661
-68.781,  	34168149.210
-71.522,  	53060518.001
-71.514,  	54208067.824
-71.513,  	55435528.022
-71.517,  	56842369.176
-71.518,  	58001139.237
-71.516,  	56506745.955
-71.514,  	63956298.733
-71.518,  	70087927.906
-71.521,  	73156405.639
-71.521,  	76284107.040
-75.844,  	135137442.509
-75.840,  	132885720.417
-75.841,  	130772754.925
-75.843,  	131655912.600
-75.851,  	133087316.959
-75.853,  	130610505.849
-75.847,  	134036246.135
-75.849,  	138771510.301
-75.851,  	141001965.865
-75.851,  	141304788.879
-80.385,  	265838554.835
-80.380,  	267459521.633
-80.371,  	269651812.794
-80.366,  	263443612.899
-80.369,  	266646574.758
-80.369,  	272725564.028
-80.369,  	269790024.897
-80.369,  	266107350.138
-80.370,  	263048644.964
-80.371,  	246654329.228
-85.577,  	423459644.870
-85.573,  	423800594.664
-85.568,  	423459644.870
-85.566,  	423459644.870
-85.562,  	423459644.870
-85.566,  	424484144.011
-85.567,  	424484144.011
-85.567,  	423800594.664
