Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,0,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-5.000000e-05,1.39031,1.41875,-0.0542188
-4.999000e-05,1.39078,1.41609,-0.0546875
-4.998000e-05,1.39109,1.41656,-0.053125
-4.997000e-05,1.39,1.41813,-0.0534375
-4.996000e-05,1.39016,1.41906,-0.0528125
-4.995000e-05,1.39,1.41625,-0.0520313
-4.994000e-05,1.39156,1.4175,-0.053125
-4.993000e-05,1.39016,1.41734,-0.0534375
-4.992000e-05,1.38984,1.41641,-0.0534375
-4.991000e-05,1.38922,1.41641,-0.0521875
-4.990000e-05,1.38922,1.41656,-0.0548438
-4.989000e-05,1.39078,1.41703,-0.0535938
-4.988000e-05,1.39469,1.42312,-0.0490625
-4.987000e-05,1.39016,1.41844,-0.053125
-4.986000e-05,1.38984,1.41688,-0.0557813
-4.985000e-05,1.39031,1.41703,-0.0532813
-4.984000e-05,1.39031,1.41656,-0.0534375
-4.983000e-05,1.38781,1.41969,-0.0539063
-4.982000e-05,1.39016,1.41938,-0.055
-4.981000e-05,1.39062,1.42016,-0.0525
-4.980000e-05,1.39344,1.42031,-0.0510938
-4.979000e-05,1.3925,1.41766,-0.0553125
-4.978000e-05,1.38875,1.42109,-0.0560937
-4.977000e-05,1.38891,1.41969,-0.0546875
-4.976000e-05,1.38922,1.42063,-0.05625
-4.975000e-05,1.38969,1.415,-0.054375
-4.974000e-05,1.39469,1.42203,-0.0504687
-4.973000e-05,1.38781,1.41766,-0.055625
-4.972000e-05,1.39031,1.41656,-0.0545313
-4.971000e-05,1.38766,1.41547,-0.0535938
-4.970000e-05,1.39094,1.42031,-0.0523438
-4.969000e-05,1.39234,1.41938,-0.0521875
-4.968000e-05,1.39203,1.41719,-0.054375
-4.967000e-05,1.39,1.41781,-0.0540625
-4.966000e-05,1.39062,1.41969,-0.0526563
-4.965000e-05,1.39062,1.41922,-0.0539063
-4.964000e-05,1.38906,1.41625,-0.0540625
-4.963000e-05,1.38984,1.41547,-0.051875
-4.962000e-05,1.39187,1.42,-0.0526563
-4.961000e-05,1.38953,1.41688,-0.0532813
-4.960000e-05,1.39328,1.41891,-0.0548438
-4.959000e-05,1.39016,1.42,-0.0528125
-4.958000e-05,1.38734,1.415,-0.0553125
-4.957000e-05,1.39156,1.41641,-0.0540625
-4.956000e-05,1.39375,1.42359,-0.050625
-4.955000e-05,1.39203,1.42031,-0.0525
-4.954000e-05,1.39078,1.41516,-0.0565625
-4.953000e-05,1.39016,1.41531,-0.0532813
-4.952000e-05,1.39031,1.41859,-0.0520313
-4.951000e-05,1.39,1.41813,-0.0545313
-4.950000e-05,1.38891,1.42016,-0.0546875
-4.949000e-05,1.39094,1.41797,-0.0528125
-4.948000e-05,1.3925,1.41891,-0.0504687
