Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,0,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-5.000000e-05,-0.0265625,1.54891,3.22734
-4.999000e-05,-0.0225,1.54609,3.22734
-4.998000e-05,-0.024375,1.54625,3.22953
-4.997000e-05,-0.0220312,1.55094,3.22797
-4.996000e-05,-0.0240625,1.5475,3.22766
-4.995000e-05,-0.0298438,1.54359,3.23078
-4.994000e-05,-0.0232812,1.54656,3.23078
-4.993000e-05,-0.028125,1.54406,3.22891
-4.992000e-05,-0.02375,1.55094,3.22578
-4.991000e-05,-0.0273438,1.54688,3.22875
-4.990000e-05,-0.025625,1.54516,3.2275
-4.989000e-05,-0.025,1.54688,3.23
-4.988000e-05,-0.0220312,1.55453,3.23078
-4.987000e-05,-0.026875,1.54844,3.22906
-4.986000e-05,-0.0278125,1.54469,3.22578
-4.985000e-05,-0.0260937,1.54672,3.23109
-4.984000e-05,-0.0223437,1.54812,3.22609
-4.983000e-05,-0.0221875,1.54797,3.22906
-4.982000e-05,-0.0235938,1.54969,3.22516
-4.981000e-05,-0.0264062,1.54953,3.22953
-4.980000e-05,-0.025,1.54641,3.23516
-4.979000e-05,-0.0221875,1.54703,3.22359
-4.978000e-05,-0.0267187,1.54906,3.22609
-4.977000e-05,-0.0257813,1.54578,3.23125
-4.976000e-05,-0.0240625,1.54688,3.22656
-4.975000e-05,-0.025625,1.54953,3.22453
-4.974000e-05,-0.0240625,1.55063,3.23156
-4.973000e-05,-0.0260937,1.54516,3.22562
-4.972000e-05,-0.0264062,1.54766,3.22891
-4.971000e-05,-0.0251563,1.545,3.22953
-4.970000e-05,-0.023125,1.54922,3.23062
-4.969000e-05,-0.0229687,1.54922,3.23016
-4.968000e-05,-0.0279688,1.54906,3.22609
-4.967000e-05,-0.021875,1.54641,3.2275
-4.966000e-05,-0.0239063,1.54969,3.22891
-4.965000e-05,-0.0226562,1.54922,3.22844
-4.964000e-05,-0.0257813,1.54609,3.22703
-4.963000e-05,-0.0289063,1.54609,3.23156
-4.962000e-05,-0.0229687,1.54797,3.22922
-4.961000e-05,-0.0271875,1.545,3.23
-4.960000e-05,-0.024375,1.55047,3.22641
-4.959000e-05,-0.0271875,1.54391,3.23062
-4.958000e-05,-0.025625,1.54422,3.22719
-4.957000e-05,-0.0234375,1.54734,3.22797
-4.956000e-05,-0.0217188,1.55547,3.23141
-4.955000e-05,-0.0271875,1.54969,3.2275
-4.954000e-05,-0.02875,1.54406,3.22781
-4.953000e-05,-0.0251563,1.54359,3.23188
-4.952000e-05,-0.0242188,1.54844,3.22469
-4.951000e-05,-0.0234375,1.54953,3.22875
-4.950000e-05,-0.0229687,1.54844,3.22734
-4.949000e-05,-0.0229687,1.54844,3.22922
-4.948000e-05,-0.025,1.54594,3.23453
