-60.092,  	154489.117
-60.095,  	166958.888
-60.155,  	148537.636
-60.173,  	74285.822
-62.119,  	531552.297
-66.971,  	469203.446
-71.226,  	576896.917
-71.231,  	551390.568
-71.229,  	535803.356
-71.238,  	544305.472
-76.499,  	643496.826
-78.688,  	1091274.940
-79.197,  	1473870.163
-79.208,  	1388849.002
-79.203,  	1388849.002
-83.131,  	1656665.659
-83.920,  	6767854.444
-83.916,  	6104689.389
-83.920,  	6854292.624
-83.908,  	7214215.538
-83.910,  	5826953.597
-83.926,  	5788694.075
-83.908,  	7158951.784
-85.546,  	10968125.413
-85.245,  	17782443.871
-85.243,  	18825477.059
-85.253,  	17824596.633
-85.247,  	18100424.298
-85.247,  	18194273.715
-85.254,  	17050869.406
-85.250,  	17946141.786
-85.252,  	17423380.952
-85.253,  	18056958.442
-85.243,  	17348725.728
-85.246,  	19596438.517
-85.241,  	17824596.633
-86.237,  	56597885.868
-86.181,  	65386377.463
-86.175,  	66881872.754
-86.183,  	61562612.699
-86.180,  	59949924.667
-86.176,  	61924745.714
-86.176,  	59881722.250
-86.180,  	59745781.904
-86.185,  	56415899.097
-87.073,  	91540928.448
-87.120,  	218406779.491
-87.122,  	221159806.123
-87.137,  	223034041.768
-87.122,  	232902804.678
-87.123,  	232902804.678
-87.130,  	240347186.563
-87.123,  	229851676.233
-87.213,  	236036026.266
-89.425,  	297378722.358
-87.547,  	431442900.470
-87.981,  	442319612.246
-88.111,  	438633615.478
-88.063,  	446068083.537
-88.061,  	446068083.537
-88.058,  	446068083.537
-88.056,  	446068083.537
-88.055,  	442319612.246
-88.050,  	442319612.246
-88.046,  	446068083.537
-88.052,  	446068083.537
-88.038,  	446068083.537
-86.764,  	438633615.478
-86.790,  	127448023.868
-86.794,  	133593994.562
-86.789,  	135659881.076
-86.795,  	131590084.643
-86.812,  	138152319.835
-86.805,  	135311141.021
-86.798,  	129965515.697
-86.789,  	132584468.154
-86.802,  	131261929.819
-86.801,  	130935407.605
-87.062,  	134275596.575
-86.325,  	72104155.969
-86.053,  	46171959.524
-86.065,  	47249581.560
-86.054,  	48691983.217
-86.060,  	47981799.323
-86.068,  	46954535.109
-86.055,  	46131493.302
-86.059,  	46050773.278
-86.062,  	45890177.731
-86.060,  	45454260.671
-86.069,  	46131493.302
-86.071,  	46212496.802
-85.530,  	25676114.077
-85.624,  	24056688.235
-85.626,  	24723360.196
-85.628,  	25257213.943
-85.627,  	25501954.388
-85.625,  	26759549.495
-85.630,  	26383976.871
-85.617,  	27386073.807
-85.620,  	24723360.196
