Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-9.798000e-03,0.767969,17.8063,1.39797,4.10562
-9.796000e-03,0.765156,17.7875,1.39703,4.10453
-9.794000e-03,0.767344,17.7797,1.40094,4.11
-9.792000e-03,0.770469,17.7984,1.39625,4.11156
-9.790000e-03,0.753281,17.6391,1.39484,4.11313
-9.788000e-03,0.767188,17.7797,1.40031,4.10359
-9.786000e-03,0.763125,17.7703,1.40672,4.10312
-9.784000e-03,0.7625,17.8141,1.40156,4.11437
-9.782000e-03,0.763437,17.75,1.39719,4.10531
-9.780000e-03,0.76125,17.7031,1.40047,4.10656
-9.778000e-03,0.758125,17.7516,1.39359,4.10594
-9.776000e-03,0.767188,17.7406,1.39531,4.11125
-9.774000e-03,0.758281,17.7547,1.39938,4.10672
-9.772000e-03,0.767188,17.7906,1.39625,4.11109
-9.770000e-03,0.764219,17.7156,1.39062,4.10266
-9.768000e-03,0.757969,17.7063,1.39344,4.10312
-9.766000e-03,0.761563,17.7609,1.39172,4.10828
-9.764000e-03,0.762188,17.7312,1.4025,4.10047
-9.762000e-03,0.757188,17.7563,1.40172,4.10391
-9.760000e-03,0.745938,17.7406,1.39672,4.10203
-9.758000e-03,0.749531,17.8594,1.39422,4.10453
-9.756000e-03,0.75,17.7891,1.40016,4.10781
-9.754000e-03,0.76125,17.7813,1.39266,4.11016
-9.752000e-03,0.754688,17.7875,1.40172,4.09922
-9.750000e-03,0.761094,17.7859,1.39906,4.11031
-9.748000e-03,0.7525,17.7188,1.3975,4.10359
-9.746000e-03,0.757656,17.7719,1.3975,4.10141
-9.744000e-03,0.754688,17.6719,1.39297,4.09734
-9.742000e-03,0.760938,17.7891,1.39391,4.10812
-9.740000e-03,0.763125,17.8016,1.40172,4.10219
-9.738000e-03,0.7525,17.7078,1.40172,4.10938
-9.736000e-03,0.753281,17.8,1.39469,4.10891
-9.734000e-03,0.750781,17.7281,1.39,4.11078
-9.732000e-03,0.756719,17.7469,1.3925,4.10984
-9.730000e-03,0.75125,17.7969,1.39781,4.10438
-9.728000e-03,0.747656,17.7375,1.39656,4.10922
-9.726000e-03,0.745781,17.6578,1.39453,4.10906
-9.724000e-03,0.758437,17.8047,1.39828,4.11969
-9.722000e-03,0.751406,17.7703,1.41281,4.11016
-9.720000e-03,0.751719,17.7609,1.39437,4.10687
-9.718000e-03,0.7525,17.6969,1.38859,4.11203
-9.716000e-03,0.744062,17.7563,1.40047,4.10641
-9.714000e-03,0.748281,17.7547,1.39922,4.10609
-9.712000e-03,0.749844,17.8016,1.39906,4.10547
-9.710000e-03,0.74625,17.7406,1.39109,4.10734
-9.708000e-03,0.748906,17.7266,1.39828,4.10891
-9.706000e-03,0.755625,17.7688,1.40203,4.10438
-9.704000e-03,0.747031,17.7672,1.39797,4.10609
-9.702000e-03,0.745625,17.7359,1.40266,4.10891
-9.700000e-03,0.754062,17.7078,1.39906,4.10641
-9.698000e-03,0.745938,17.7234,1.39437,4.10094
-9.696000e-03,0.743594,17.7359,1.38984,4.10719
-9.694000e-03,0.753437,17.7172,1.40109,4.10906
-9.692000e-03,0.743281,17.7984,1.40016,4.11422
-9.690000e-03,0.748594,17.6813,1.40312,4.105
-9.688000e-03,0.740781,17.7625,1.40281,4.10797
-9.686000e-03,0.745625,17.7828,1.39078,4.10734
-9.684000e-03,0.747031,17.7609,1.39672,4.10672
-9.682000e-03,0.746875,17.7875,1.39594,4.10719
-9.680000e-03,0.748281,17.6828,1.39062,4.11109
-9.678000e-03,0.744688,17.7937,1.4,4.11734
-9.676000e-03,0.74,17.7125,1.39203,4.10469
-9.674000e-03,0.748281,17.7859,1.38922,4.10812
-9.672000e-03,0.746719,17.7688,1.40156,4.11219
-9.670000e-03,0.745625,17.8188,1.39703,4.11359
-9.668000e-03,0.740313,17.6938,1.40031,4.11
-9.666000e-03,0.73625,17.7688,1.39563,4.10109
-9.664000e-03,0.737187,17.725,1.40672,4.11094
-9.662000e-03,0.740469,17.6719,1.39219,4.1075
-9.660000e-03,0.746094,17.7328,1.39484,4.11781
-9.658000e-03,0.732812,17.7422,1.40016,4.10922
-9.656000e-03,0.735938,17.7359,1.40266,4.10906
-9.654000e-03,0.728594,17.8063,1.40016,4.10187
-9.652000e-03,0.737344,17.7703,1.40203,4.10547
-9.650000e-03,0.744219,17.6719,1.39594,4.10547
-9.648000e-03,0.740313,17.8156,1.39672,4.09938
-9.646000e-03,0.742812,17.7375,1.40391,4.10641
-9.644000e-03,0.745156,17.8469,1.395,4.10422
-9.642000e-03,0.739063,17.8,1.40172,4.09922
-9.640000e-03,0.731563,17.8641,1.39016,4.10031
-9.638000e-03,0.740625,17.7531,1.40234,4.11406
-9.636000e-03,0.734688,17.6844,1.38688,4.10703
-9.634000e-03,0.741719,17.6828,1.3925,4.10969
-9.632000e-03,0.730469,17.7344,1.39328,4.10922
-9.630000e-03,0.738281,17.8344,1.40156,4.11203
-9.628000e-03,0.728906,17.7469,1.39078,4.11313
-9.626000e-03,0.740313,17.7969,1.39641,4.10906
-9.624000e-03,0.732344,17.7563,1.39688,4.11125
-9.622000e-03,0.73125,17.7656,1.40266,4.10562
-9.620000e-03,0.729219,17.8031,1.40109,4.10547
-9.618000e-03,0.732187,17.7328,1.39938,4.11484
-9.616000e-03,0.733594,17.7516,1.39578,4.11703
-9.614000e-03,0.725469,17.7703,1.39531,4.11297
-9.612000e-03,0.721562,17.7203,1.39422,4.11375
-9.610000e-03,0.722656,17.8031,1.39703,4.11437
-9.608000e-03,0.729219,17.7719,1.39453,4.10469
-9.606000e-03,0.736719,17.6938,1.38844,4.11062
-9.604000e-03,0.732187,17.8109,1.39312,4.10422
-9.602000e-03,0.734375,17.8219,1.39797,4.10969
-9.600000e-03,0.727812,17.7578,1.39359,4.10391
-9.598000e-03,0.727812,17.7891,1.39172,4.10562
-9.596000e-03,0.730625,17.8234,1.38844,4.10828
-9.594000e-03,0.729219,17.6641,1.3925,4.11313
-9.592000e-03,0.730156,17.6875,1.40016,4.10172
-9.590000e-03,0.733281,17.7641,1.40031,4.10484
-9.588000e-03,0.737031,17.7328,1.39484,4.10375
-9.586000e-03,0.72375,17.7484,1.40078,4.10047
-9.584000e-03,0.728437,17.7438,1.40187,4.10719
-9.582000e-03,0.731094,17.7625,1.40844,4.10328
-9.580000e-03,0.727187,17.725,1.40187,4.11219
-9.578000e-03,0.73375,17.7453,1.39672,4.10609
-9.576000e-03,0.728594,17.7328,1.39156,4.09609
-9.574000e-03,0.731094,17.7203,1.3975,4.10469
-9.572000e-03,0.726719,17.7047,1.39531,4.09438
-9.570000e-03,0.727344,17.7391,1.40219,4.11078
-9.568000e-03,0.719375,17.7469,1.39453,4.09719
-9.566000e-03,0.725625,17.8078,1.39969,4.10984
-9.564000e-03,0.724688,17.8031,1.39469,4.09719
-9.562000e-03,0.718906,17.7859,1.40078,4.11203
-9.560000e-03,0.720938,17.7688,1.39297,4.10438
-9.558000e-03,0.731406,17.6891,1.39672,4.10891
-9.556000e-03,0.725625,17.75,1.39906,4.10687
-9.554000e-03,0.725781,17.7594,1.40078,4.11937
-9.552000e-03,0.716406,17.7344,1.39922,4.10969
-9.550000e-03,0.725,17.7297,1.39953,4.10766
-9.548000e-03,0.712812,17.7922,1.39328,4.11047
-9.546000e-03,0.729688,17.7234,1.39828,4.11375
-9.544000e-03,0.719844,17.8234,1.40625,4.09781
