Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-1.000000e-02,1.06125,17.7422,1.39531,4.10969
-9.998000e-03,1.06391,17.7906,1.39766,4.10703
-9.996000e-03,1.05625,17.7563,1.39312,4.10078
-9.994000e-03,1.05625,17.7937,1.39625,4.10187
-9.992000e-03,1.06438,17.7844,1.38688,4.09547
-9.990000e-03,1.05641,17.7937,1.39922,4.10375
-9.988000e-03,1.05812,17.725,1.4,4.10703
-9.986000e-03,1.06188,17.7516,1.39891,4.10344
-9.984000e-03,1.05563,17.7922,1.39156,4.10969
-9.982000e-03,1.05828,17.7016,1.38609,4.10141
-9.980000e-03,1.05297,17.7937,1.38938,4.1
-9.978000e-03,1.05906,17.7328,1.39906,4.09953
-9.976000e-03,1.05484,17.6828,1.39359,4.10438
-9.974000e-03,1.05125,17.7438,1.38844,4.10172
-9.972000e-03,1.05969,17.7406,1.40797,4.10062
-9.970000e-03,1.05391,17.7828,1.38453,4.11719
-9.968000e-03,1.05719,17.7219,1.39266,4.09812
-9.966000e-03,1.05375,17.8063,1.39375,4.10516
-9.964000e-03,1.05703,17.8047,1.38922,4.10469
-9.962000e-03,1.07219,17.7406,1.39875,4.11016
-9.960000e-03,1.05953,17.7391,1.38906,4.10969
-9.958000e-03,1.05547,17.7031,1.39688,4.10703
-9.956000e-03,1.05984,17.7094,1.39688,4.10641
-9.954000e-03,1.05875,17.6938,1.39469,4.10344
-9.952000e-03,1.05844,17.7328,1.39531,4.10641
-9.950000e-03,1.06062,17.7516,1.39234,4.09703
-9.948000e-03,1.05328,17.8266,1.39547,4.10547
-9.946000e-03,1.04937,17.7906,1.39437,4.09547
-9.944000e-03,1.05297,17.6828,1.39547,4.09156
-9.942000e-03,1.05688,17.7484,1.39578,4.10406
-9.940000e-03,1.05812,17.7109,1.39641,4.11219
-9.938000e-03,1.05359,17.7813,1.39813,4.10328
-9.936000e-03,1.05219,17.725,1.38797,4.10141
-9.934000e-03,1.06625,17.7125,1.39625,4.10687
-9.932000e-03,1.05016,17.7188,1.38797,4.10016
-9.930000e-03,1.06438,17.7844,1.38844,4.10984
-9.928000e-03,1.05906,17.7375,1.39734,4.10594
-9.926000e-03,1.05578,17.7813,1.39594,4.10828
-9.924000e-03,1.05125,17.7766,1.39391,4.10078
-9.922000e-03,1.05844,17.7375,1.39813,4.10297
-9.920000e-03,1.05344,17.7438,1.40047,4.1025
-9.918000e-03,1.0625,17.6656,1.40078,4.09641
-9.916000e-03,1.06094,17.7484,1.38859,4.10578
-9.914000e-03,1.06156,17.7031,1.39688,4.09875
-9.912000e-03,1.05328,17.75,1.39172,4.10375
-9.910000e-03,1.05859,17.6969,1.39781,4.1
