Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-1.000000e-02,0.797188,19.9875,1.40016,4.11531
-9.998000e-03,0.802813,19.9875,1.40406,4.10922
-9.996000e-03,0.78875,19.9875,1.38859,4.11313
-9.994000e-03,0.808906,19.9875,1.39984,4.11672
-9.992000e-03,0.800312,19.9875,1.39859,4.1075
-9.990000e-03,0.803594,19.9875,1.39453,4.10687
-9.988000e-03,0.809531,19.9875,1.40312,4.10359
-9.986000e-03,0.798906,19.9875,1.40203,4.11531
-9.984000e-03,0.795469,19.9875,1.40953,4.11547
-9.982000e-03,0.795625,19.9875,1.40641,4.11109
-9.980000e-03,0.800937,19.9875,1.39312,4.11281
-9.978000e-03,0.80625,19.9875,1.40453,4.11937
-9.976000e-03,0.784844,19.9875,1.40078,4.10797
-9.974000e-03,0.79625,19.9875,1.39703,4.10891
-9.972000e-03,0.787656,19.9875,1.40562,4.11359
-9.970000e-03,0.793438,19.9875,1.38922,4.10344
-9.968000e-03,0.794219,19.9875,1.39844,4.10938
-9.966000e-03,0.790312,19.9875,1.40031,4.10906
-9.964000e-03,0.798125,19.9875,1.40766,4.10672
-9.962000e-03,0.792031,19.9875,1.40156,4.09719
-9.960000e-03,0.787188,19.9875,1.3975,4.11125
-9.958000e-03,0.792031,19.9875,1.40813,4.11109
-9.956000e-03,0.792188,19.9875,1.39906,4.11031
-9.954000e-03,0.796563,19.9875,1.39609,4.10516
-9.952000e-03,0.793594,19.9875,1.39406,4.11687
-9.950000e-03,0.789375,19.9875,1.39922,4.11141
-9.948000e-03,0.788125,19.9875,1.39922,4.10703
-9.946000e-03,0.79375,19.9875,1.39984,4.10891
-9.944000e-03,0.785938,19.9875,1.39672,4.10562
-9.942000e-03,0.787344,19.9875,1.40016,4.10938
-9.940000e-03,0.794375,19.9875,1.39563,4.10672
-9.938000e-03,0.787188,19.9875,1.40031,4.1125
-9.936000e-03,0.790938,19.9875,1.40031,4.10781
-9.934000e-03,0.790312,19.9875,1.39422,4.10703
-9.932000e-03,0.792813,19.9875,1.38875,4.11172
-9.930000e-03,0.788594,19.9875,1.39484,4.10687
-9.928000e-03,0.790469,19.9875,1.39625,4.10641
-9.926000e-03,0.785625,19.9875,1.40297,4.10812
-9.924000e-03,0.788438,19.9875,1.39984,4.10922
-9.922000e-03,0.78375,19.9875,1.39328,4.11609
-9.920000e-03,0.79125,19.9875,1.40109,4.11187
-9.918000e-03,0.777188,19.9875,1.39109,4.11359
-9.916000e-03,0.794375,19.9875,1.39922,4.11297
-9.914000e-03,0.789687,19.9875,1.39875,4.11453
-9.912000e-03,0.782344,19.9875,1.40047,4.10578
-9.910000e-03,0.77625,19.9875,1.40219,4.10953
