Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-07,,
Horizontal Delay,0,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-2.000000e-06,1.37922,1.49297,-0.0253125
-1.999600e-06,1.37875,1.49203,-0.023125
-1.999200e-06,1.37781,1.49359,-0.023125
-1.998800e-06,1.38172,1.49375,-0.024375
-1.998400e-06,1.37813,1.49547,-0.0207813
-1.998000e-06,1.37875,1.49531,-0.0210938
-1.997600e-06,1.37984,1.49406,-0.025
-1.997200e-06,1.38125,1.49313,-0.0267187
-1.996800e-06,1.37578,1.49547,-0.0246875
-1.996400e-06,1.3775,1.49516,-0.026875
-1.996000e-06,1.38062,1.49375,-0.0242188
-1.995600e-06,1.38234,1.49313,-0.0240625
-1.995200e-06,1.37969,1.49391,-0.023125
-1.994800e-06,1.37828,1.49094,-0.026875
-1.994400e-06,1.37969,1.49344,-0.0223437
-1.994000e-06,1.37859,1.49063,-0.02375
-1.993600e-06,1.37797,1.49172,-0.0248438
-1.993200e-06,1.37453,1.49172,-0.02625
-1.992800e-06,1.37953,1.49219,-0.0246875
-1.992400e-06,1.37922,1.49422,-0.0226562
-1.992000e-06,1.38203,1.4925,-0.0273438
-1.991600e-06,1.37906,1.49266,-0.0239063
-1.991200e-06,1.37797,1.49625,-0.0242188
-1.990800e-06,1.37969,1.49391,-0.0259375
-1.990400e-06,1.37797,1.49219,-0.0242188
-1.990000e-06,1.38266,1.49328,-0.0225
-1.989600e-06,1.37906,1.49266,-0.0251563
-1.989200e-06,1.37734,1.49313,-0.0240625
-1.988800e-06,1.37828,1.49375,-0.0259375
-1.988400e-06,1.37891,1.49453,-0.0242188
-1.988000e-06,1.37813,1.49609,-0.0246875
-1.987600e-06,1.38328,1.49344,-0.0259375
-1.987200e-06,1.37984,1.49125,-0.024375
-1.986800e-06,1.38078,1.49203,-0.0267187
-1.986400e-06,1.38109,1.49406,-0.025625
-1.986000e-06,1.3775,1.49422,-0.0239063
-1.985600e-06,1.37813,1.49609,-0.0234375
-1.985200e-06,1.37859,1.49172,-0.0245313
-1.984800e-06,1.37656,1.49328,-0.0270312
-1.984400e-06,1.37984,1.49172,-0.025
-1.984000e-06,1.38031,1.49297,-0.0248438
-1.983600e-06,1.37813,1.49172,-0.0270312
-1.983200e-06,1.38219,1.49422,-0.02625
-1.982800e-06,1.38187,1.49609,-0.0245313
-1.982400e-06,1.38187,1.49469,-0.0251563
-1.982000e-06,1.38016,1.49313,-0.0254688
-1.981600e-06,1.38031,1.48938,-0.0275
-1.981200e-06,1.37938,1.49141,-0.02625
-1.980800e-06,1.37797,1.49234,-0.025625
-1.980400e-06,1.37828,1.49313,-0.025
-1.980000e-06,1.37953,1.48984,-0.024375
-1.979600e-06,1.37969,1.49406,-0.02125
-1.979200e-06,1.38125,1.49453,-0.0276563
-1.978800e-06,1.38328,1.49234,-0.0257813
