Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-9.768000e-04,-0.0173438,1.76516,3.23844
-9.766000e-04,-0.0196875,1.76063,3.23813
-9.764000e-04,-0.019375,1.76063,3.23859
-9.762000e-04,-0.0195312,1.76266,3.24
-9.760000e-04,-0.02,1.76047,3.23672
-9.758000e-04,-0.0198438,1.76063,3.23453
-9.756000e-04,-0.0171875,1.76547,3.24219
-9.754000e-04,-0.0198438,1.76141,3.23359
-9.752000e-04,-0.02,1.76047,3.23594
-9.750000e-04,-0.0190625,1.76141,3.23734
-9.748000e-04,-0.0190625,1.76359,3.23844
-9.746000e-04,-0.02,1.76234,3.23937
-9.744000e-04,-0.0189062,1.76203,3.23813
-9.742000e-04,-0.0182812,1.76172,3.23734
-9.740000e-04,-0.019375,1.76078,3.23859
-9.738000e-04,-0.0198438,1.76375,3.24016
-9.736000e-04,-0.0203125,1.76063,3.23641
-9.734000e-04,-0.0182812,1.765,3.23484
-9.732000e-04,-0.02,1.76141,3.23703
-9.730000e-04,-0.0198438,1.76172,3.23719
-9.728000e-04,-0.0204688,1.76031,3.23922
-9.726000e-04,-0.0198438,1.76219,3.23609
-9.724000e-04,-0.0201563,1.76047,3.23719
-9.722000e-04,-0.02,1.7625,3.23531
-9.720000e-04,-0.0196875,1.76203,3.24453
-9.718000e-04,-0.0184375,1.76266,3.23797
-9.716000e-04,-0.0190625,1.76156,3.23484
-9.714000e-04,-0.02,1.76172,3.23656
-9.712000e-04,-0.0204688,1.76016,3.23625
-9.710000e-04,-0.0192187,1.76313,3.23781
-9.708000e-04,-0.0196875,1.76047,3.23703
-9.706000e-04,-0.01875,1.76297,3.23625
-9.704000e-04,-0.016875,1.76531,3.23922
-9.702000e-04,-0.0198438,1.76047,3.23719
-9.700000e-04,-0.0192187,1.76109,3.23937
-9.698000e-04,-0.019375,1.76281,3.23563
-9.696000e-04,-0.0201563,1.76031,3.23531
-9.694000e-04,-0.0198438,1.76016,3.23469
-9.692000e-04,-0.0167188,1.76516,3.24047
-9.690000e-04,-0.02,1.76094,3.23672
-9.688000e-04,-0.0201563,1.76047,3.23734
-9.686000e-04,-0.0196875,1.7625,3.23422
-9.684000e-04,-0.0192187,1.76219,3.235
-9.682000e-04,-0.02,1.76344,3.24141
-9.680000e-04,-0.018125,1.76219,3.23828
-9.678000e-04,-0.01875,1.76344,3.23891
-9.676000e-04,-0.0190625,1.76109,3.23703
-9.674000e-04,-0.0198438,1.76422,3.2375
-9.672000e-04,-0.02,1.76047,3.23531
-9.670000e-04,-0.0182812,1.76391,3.23625
-9.668000e-04,-0.0201563,1.76109,3.23656
-9.666000e-04,-0.02,1.76203,3.23641
-9.664000e-04,-0.020625,1.76047,3.23734
-9.662000e-04,-0.02,1.76234,3.23891
-9.660000e-04,-0.02,1.76047,3.23484
-9.658000e-04,-0.0201563,1.76172,3.23625
-9.656000e-04,-0.0195312,1.76266,3.2425
-9.654000e-04,-0.0184375,1.7625,3.23953
-9.652000e-04,-0.019375,1.76141,3.23531
-9.650000e-04,-0.0196875,1.76172,3.23594
-9.648000e-04,-0.020625,1.76016,3.23766
-9.646000e-04,-0.0185937,1.76188,3.23719
-9.644000e-04,-0.0198438,1.76047,3.23687
-9.642000e-04,-0.0184375,1.76297,3.23609
-9.640000e-04,-0.0176563,1.76562,3.23734
-9.638000e-04,-0.0198438,1.76031,3.23797
-9.636000e-04,-0.0190625,1.76125,3.23703
-9.634000e-04,-0.0196875,1.76281,3.23953
-9.632000e-04,-0.0203125,1.76047,3.23359
-9.630000e-04,-0.0198438,1.76078,3.23531
-9.628000e-04,-0.0182812,1.76219,3.24203
-9.626000e-04,-0.0189062,1.76125,3.23484
-9.624000e-04,-0.0201563,1.76094,3.23734
-9.622000e-04,-0.0196875,1.76203,3.23656
-9.620000e-04,-0.0192187,1.76375,3.23937
-9.618000e-04,-0.0201563,1.76281,3.23984
-9.616000e-04,-0.01875,1.76203,3.23625
-9.614000e-04,-0.019375,1.76328,3.23797
-9.612000e-04,-0.0192187,1.76078,3.23875
-9.610000e-04,-0.0184375,1.76344,3.23969
-9.608000e-04,-0.020625,1.76094,3.23563
-9.606000e-04,-0.018125,1.76516,3.23813
-9.604000e-04,-0.0198438,1.76109,3.23844
-9.602000e-04,-0.0195312,1.76297,3.23672
-9.600000e-04,-0.0203125,1.75984,3.23875
-9.598000e-04,-0.0198438,1.76297,3.235
-9.596000e-04,-0.0198438,1.76031,3.23484
-9.594000e-04,-0.0203125,1.76203,3.23578
-9.592000e-04,-0.0195312,1.7625,3.24094
-9.590000e-04,-0.018125,1.76375,3.23828
-9.588000e-04,-0.0190625,1.76078,3.23719
-9.586000e-04,-0.0196875,1.76047,3.23641
-9.584000e-04,-0.0201563,1.76047,3.23578
-9.582000e-04,-0.0192187,1.76219,3.23734
-9.580000e-04,-0.0198438,1.76,3.23578
-9.578000e-04,-0.0184375,1.76328,3.23453
-9.576000e-04,-0.0173438,1.76438,3.23922
-9.574000e-04,-0.0196875,1.76063,3.23953
-9.572000e-04,-0.019375,1.76156,3.23984
-9.570000e-04,-0.0195312,1.76344,3.23594
-9.568000e-04,-0.0198438,1.76,3.23516
-9.566000e-04,-0.02,1.76125,3.23578
-9.564000e-04,-0.0167188,1.76516,3.24109
-9.562000e-04,-0.0192187,1.76188,3.23375
-9.560000e-04,-0.0198438,1.76125,3.23703
-9.558000e-04,-0.019375,1.76188,3.23625
-9.556000e-04,-0.0192187,1.76344,3.23766
-9.554000e-04,-0.0201563,1.7625,3.23984
-9.552000e-04,-0.01875,1.76266,3.23859
-9.550000e-04,-0.0182812,1.76438,3.23766
-9.548000e-04,-0.0196875,1.76141,3.23672
-9.546000e-04,-0.018125,1.76391,3.23891
-9.544000e-04,-0.0201563,1.7625,3.23516
-9.542000e-04,-0.0184375,1.76438,3.23484
-9.540000e-04,-0.0201563,1.76156,3.23719
-9.538000e-04,-0.0196875,1.76203,3.23781
-9.536000e-04,-0.0203125,1.76,3.23625
-9.534000e-04,-0.0198438,1.76234,3.23406
-9.532000e-04,-0.0198438,1.76109,3.235
-9.530000e-04,-0.020625,1.76156,3.23531
-9.528000e-04,-0.0195312,1.76438,3.24063
-9.526000e-04,-0.018125,1.76234,3.23859
-9.524000e-04,-0.0195312,1.76266,3.23578
-9.522000e-04,-0.0196875,1.76219,3.23609
-9.520000e-04,-0.0204688,1.76172,3.2375
-9.518000e-04,-0.0190625,1.76359,3.23937
-9.516000e-04,-0.0195312,1.76172,3.2375
-9.514000e-04,-0.0185937,1.76297,3.23734
-9.512000e-04,-0.0173438,1.76516,3.24094
-9.510000e-04,-0.0196875,1.76078,3.23703
-9.508000e-04,-0.0190625,1.76109,3.23766
-9.506000e-04,-0.0195312,1.76328,3.23516
-9.504000e-04,-0.0196875,1.76016,3.23328
-9.502000e-04,-0.0201563,1.76094,3.23563
-9.500000e-04,-0.0175,1.76531,3.24
-9.498000e-04,-0.019375,1.76063,3.23422
-9.496000e-04,-0.0201563,1.76172,3.23531
-9.494000e-04,-0.0196875,1.76203,3.23594
-9.492000e-04,-0.0185937,1.76266,3.23734
-9.490000e-04,-0.02,1.76156,3.23953
-9.488000e-04,-0.018125,1.76281,3.2375
-9.486000e-04,-0.0184375,1.76422,3.23656
-9.484000e-04,-0.0195312,1.76078,3.2375
-9.482000e-04,-0.0182812,1.76469,3.23859
-9.480000e-04,-0.0201563,1.76203,3.23719
-9.478000e-04,-0.0185937,1.76578,3.23578
-9.476000e-04,-0.0201563,1.76203,3.23828
-9.474000e-04,-0.0195312,1.76281,3.23422
-9.472000e-04,-0.020625,1.76266,3.2375
-9.470000e-04,-0.0196875,1.76203,3.235
-9.468000e-04,-0.02,1.76141,3.23609
-9.466000e-04,-0.0201563,1.76078,3.23531
-9.464000e-04,-0.0195312,1.76313,3.24078
-9.462000e-04,-0.0185937,1.76328,3.23984
-9.460000e-04,-0.0185937,1.76281,3.23531
-9.458000e-04,-0.0196875,1.76125,3.23656
-9.456000e-04,-0.0198438,1.76063,3.23781
-9.454000e-04,-0.01875,1.76266,3.2375
-9.452000e-04,-0.0196875,1.76047,3.23531
-9.450000e-04,-0.0185937,1.76313,3.23547
-9.448000e-04,-0.0167188,1.76562,3.23828
-9.446000e-04,-0.0203125,1.76109,3.23813
-9.444000e-04,-0.0196875,1.7625,3.23672
-9.442000e-04,-0.0196875,1.76203,3.23656
-9.440000e-04,-0.0201563,1.76063,3.23469
-9.438000e-04,-0.02,1.76094,3.23594
-9.436000e-04,-0.016875,1.76625,3.24063
-9.434000e-04,-0.0192187,1.76156,3.23516
-9.432000e-04,-0.02,1.76328,3.23578
-9.430000e-04,-0.0196875,1.76156,3.23781
-9.428000e-04,-0.0185937,1.76344,3.235
-9.426000e-04,-0.0201563,1.76391,3.24031
-9.424000e-04,-0.0184375,1.76203,3.23734
-9.422000e-04,-0.0178125,1.76391,3.23687
-9.420000e-04,-0.0195312,1.76219,3.23625
-9.418000e-04,-0.0176563,1.76422,3.24063
-9.416000e-04,-0.0204688,1.76188,3.23469
-9.414000e-04,-0.01875,1.76562,3.23766
